global_task,specific_task,algo,config_id,seed,final_at_gen,auc_best_curve,ttt
GymnaxProblem,Acrobot-v1,CMA_ES,config_1,0,59.0,59576.0,
GymnaxProblem,Acrobot-v1,CMA_ES,config_1,1,57.0,59027.5,
GymnaxProblem,Acrobot-v1,CMA_ES,config_2,0,59.0,59364.0,
GymnaxProblem,Acrobot-v1,CMA_ES,config_2,1,57.0,57518.5,
GymnaxProblem,Acrobot-v1,CMA_ES,config_3,0,57.0,59027.5,
GymnaxProblem,Acrobot-v1,CMA_ES,config_3,1,57.0,57825.0,
GymnaxProblem,Acrobot-v1,SimpleES,config_1,0,56.0,57035.5,
GymnaxProblem,Acrobot-v1,SimpleES,config_1,1,56.0,57526.0,
GymnaxProblem,Acrobot-v1,SimpleES,config_2,0,56.0,58999.5,
GymnaxProblem,Acrobot-v1,SimpleES,config_2,1,56.0,58805.0,
GymnaxProblem,Acrobot-v1,SimpleES,config_3,0,56.0,57035.5,
GymnaxProblem,Acrobot-v1,SimpleES,config_3,1,57.0,57730.0,
GymnaxProblem,CartPole-v1,CMA_ES,config_1,0,-500.0,-496634.5,
GymnaxProblem,CartPole-v1,CMA_ES,config_1,1,-500.0,-498523.0,
GymnaxProblem,CartPole-v1,CMA_ES,config_2,0,-500.0,-497472.0,
GymnaxProblem,CartPole-v1,CMA_ES,config_2,1,-500.0,-498552.5,
GymnaxProblem,CartPole-v1,CMA_ES,config_3,0,-500.0,-496634.5,
GymnaxProblem,CartPole-v1,CMA_ES,config_3,1,-500.0,-499032.0,
GymnaxProblem,CartPole-v1,SimpleES,config_1,0,-500.0,-496906.5,
GymnaxProblem,CartPole-v1,SimpleES,config_1,1,-500.0,-496785.0,
GymnaxProblem,CartPole-v1,SimpleES,config_2,0,-500.0,-496805.5,
GymnaxProblem,CartPole-v1,SimpleES,config_2,1,-500.0,-496783.0,
GymnaxProblem,CartPole-v1,SimpleES,config_3,0,-500.0,-496906.5,
GymnaxProblem,CartPole-v1,SimpleES,config_3,1,-500.0,-497592.0,
