Fri 17 Oct 2025 00:17:49 IDT

SLURM_JOBID:		 7494502
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=gymnax es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Loading Problems ..:   0%|                                                               | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/PGPE/0]
Generation 016 | Mean fitness (Test): 0.00
Generation 032 | Mean fitness (Test): 1.00
Generation 048 | Mean fitness (Test): 0.00
Generation 064 | Mean fitness (Test): 0.00
Generation 080 | Mean fitness (Test): 0.00
Generation 096 | Mean fitness (Test): 0.00
Generation 112 | Mean fitness (Test): 0.00
Generation 128 | Mean fitness (Test): 1.00
Generation 144 | Mean fitness (Test): 0.00
Generation 160 | Mean fitness (Test): 1.00
Generation 176 | Mean fitness (Test): 1.00
Generation 192 | Mean fitness (Test): 2.00
Generation 208 | Mean fitness (Test): 0.00
Generation 224 | Mean fitness (Test): 3.00
