Tue 02 Dec 2025 16:42:26 IST

SLURM_JOBID:		 8558402
SLURM_JOB_NODELIST:	 ise-6000-07 

configuration parmas running: problem_type=bbob es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Successfully loaded: sphere
Loading Problems ..:   0%|                                                                                                                                        | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/PGPE_500_10000/0]
Generation 100 | Best fitness (Train): 115259.30 | Best fitness in generation (Train): 115259.30 | Mean fitness (Train): 115456.73 | Mean fitness (Test): 115156.77
Generation 200 | Best fitness (Train): 96189.05 | Best fitness in generation (Train): 96189.05 | Mean fitness (Train): 96381.98 | Mean fitness (Test): 96099.37
Generation 300 | Best fitness (Train): 78923.20 | Best fitness in generation (Train): 78923.20 | Mean fitness (Train): 79079.92 | Mean fitness (Test): 78816.99
Generation 400 | Best fitness (Train): 63362.22 | Best fitness in generation (Train): 63362.22 | Mean fitness (Train): 63521.08 | Mean fitness (Test): 63275.75
Generation 500 | Best fitness (Train): 49582.34 | Best fitness in generation (Train): 49582.34 | Mean fitness (Train): 49719.64 | Mean fitness (Test): 49492.14
Generation 600 | Best fitness (Train): 37584.51 | Best fitness in generation (Train): 37584.51 | Mean fitness (Train): 37694.72 | Mean fitness (Test): 37484.52
Generation 700 | Best fitness (Train): 27251.11 | Best fitness in generation (Train): 27251.11 | Mean fitness (Train): 27325.51 | Mean fitness (Test): 27135.29
Generation 800 | Best fitness (Train): 18623.33 | Best fitness in generation (Train): 18623.33 | Mean fitness (Train): 18704.82 | Mean fitness (Test): 18529.17
Generation 900 | Best fitness (Train): 11692.68 | Best fitness in generation (Train): 11692.68 | Mean fitness (Train): 11754.65 | Mean fitness (Test): 11595.75
Generation 1000 | Best fitness (Train): 6474.49 | Best fitness in generation (Train): 6474.49 | Mean fitness (Train): 6514.73 | Mean fitness (Test): 6373.42
Generation 1100 | Best fitness (Train): 2936.45 | Best fitness in generation (Train): 2936.45 | Mean fitness (Train): 2965.69 | Mean fitness (Test): 2842.25
