Sun 09 Nov 2025 00:24:51 IST

SLURM_JOBID:		 8041823
SLURM_JOB_NODELIST:	 ise-3090-02 

configuration parmas running: problem_type=brax es_algorithms=CMA_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:25:11.855874 2565122 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/CMA_ES/0]
Generation 010 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -8.91 | Mean fitness (Train): -51.68 | Mean fitness (Test): -11.59
Generation 020 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -8.36 | Mean fitness (Train): -55.51 | Mean fitness (Test): -7.24
Generation 030 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -8.44 | Mean fitness (Train): -50.10 | Mean fitness (Test): -39.78
Generation 040 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -5.44 | Mean fitness (Train): -46.04 | Mean fitness (Test): -13.23
Generation 050 | Best fitness (Train): -2.46 | Best fitness in generation (Train): -6.10 | Mean fitness (Train): -40.30 | Mean fitness (Test): -15.44
Generation 060 | Best fitness (Train): -2.46 | Best fitness in generation (Train): -7.12 | Mean fitness (Train): -46.34 | Mean fitness (Test): -11.99
Generation 070 | Best fitness (Train): -2.46 | Best fitness in generation (Train): -6.69 | Mean fitness (Train): -44.04 | Mean fitness (Test): -13.99
Generation 080 | Best fitness (Train): -2.46 | Best fitness in generation (Train): -5.71 | Mean fitness (Train): -41.38 | Mean fitness (Test): -9.75
Generation 090 | Best fitness (Train): -2.46 | Best fitness in generation (Train): -4.71 | Mean fitness (Train): -45.01 | Mean fitness (Test): -18.44
Generation 100 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.59 | Mean fitness (Train): -35.71 | Mean fitness (Test): -65.04
Generation 110 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -40.32 | Mean fitness (Test): -38.96
Generation 120 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.38 | Mean fitness (Train): -23.98 | Mean fitness (Test): -8.60
Generation 130 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -7.03 | Mean fitness (Train): -39.79 | Mean fitness (Test): -18.70
Generation 140 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.64 | Mean fitness (Train): -24.61 | Mean fitness (Test): -13.28
Generation 150 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.24 | Mean fitness (Train): -26.69 | Mean fitness (Test): -12.33
Generation 160 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.87 | Mean fitness (Train): -42.41 | Mean fitness (Test): -23.79
Generation 170 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.90 | Mean fitness (Train): -16.73 | Mean fitness (Test): -10.03
Generation 180 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.68 | Mean fitness (Train): -26.72 | Mean fitness (Test): -41.64
Generation 190 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.21 | Mean fitness (Train): -21.25 | Mean fitness (Test): -19.24
Generation 200 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.99 | Mean fitness (Train): -24.83 | Mean fitness (Test): -13.22
Generation 210 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.56 | Mean fitness (Train): -14.06 | Mean fitness (Test): -12.41
Generation 220 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.53 | Mean fitness (Train): -26.87 | Mean fitness (Test): -12.97
Generation 230 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.18 | Mean fitness (Train): -31.98 | Mean fitness (Test): -58.90
Generation 240 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.09 | Mean fitness (Train): -27.69 | Mean fitness (Test): -13.45
Generation 250 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -8.08 | Mean fitness (Train): -22.18 | Mean fitness (Test): -33.95
Generation 260 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.08 | Mean fitness (Train): -37.50 | Mean fitness (Test): -14.69
Generation 270 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.33 | Mean fitness (Train): -18.45 | Mean fitness (Test): -7.63
Generation 280 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.32 | Mean fitness (Train): -35.10 | Mean fitness (Test): -11.93
Generation 290 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.79 | Mean fitness (Train): -26.94 | Mean fitness (Test): -56.75
Generation 300 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.06 | Mean fitness (Train): -18.80 | Mean fitness (Test): -11.95
Generation 310 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -9.97 | Mean fitness (Train): -27.29 | Mean fitness (Test): -13.92
Generation 320 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.15 | Mean fitness (Train): -15.03 | Mean fitness (Test): -12.05
Generation 330 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.28 | Mean fitness (Train): -24.77 | Mean fitness (Test): -10.03
Generation 340 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -6.00 | Mean fitness (Train): -23.45 | Mean fitness (Test): -11.59
Generation 350 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.72 | Mean fitness (Train): -19.34 | Mean fitness (Test): -10.76
Generation 360 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -10.97 | Mean fitness (Train): -54.51 | Mean fitness (Test): -155.81
Generation 370 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.45 | Mean fitness (Train): -29.74 | Mean fitness (Test): -8.06
Generation 380 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.57 | Mean fitness (Train): -17.52 | Mean fitness (Test): -6.31
Generation 390 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.15 | Mean fitness (Train): -41.82 | Mean fitness (Test): -18.63
Generation 400 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -2.85 | Mean fitness (Train): -21.27 | Mean fitness (Test): -22.21
Generation 410 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.74 | Mean fitness (Train): -51.71 | Mean fitness (Test): -24.89
Generation 420 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -9.68 | Mean fitness (Train): -25.46 | Mean fitness (Test): -15.93
Generation 430 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.57 | Mean fitness (Train): -45.34 | Mean fitness (Test): -68.64
Generation 440 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.82 | Mean fitness (Train): -11.81 | Mean fitness (Test): -6.33
Generation 450 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.42 | Mean fitness (Train): -41.08 | Mean fitness (Test): -6.82
Generation 460 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -7.01 | Mean fitness (Train): -18.87 | Mean fitness (Test): -13.52
Generation 470 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -4.51 | Mean fitness (Train): -14.84 | Mean fitness (Test): -6.40
Generation 480 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.53 | Mean fitness (Train): -12.35 | Mean fitness (Test): -6.71
Generation 490 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.02 | Mean fitness (Train): -15.46 | Mean fitness (Test): -14.08
Generation 500 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -3.89 | Mean fitness (Train): -18.59 | Mean fitness (Test): -7.47
Generation 510 | Best fitness (Train): -1.27 | Best fitness in generation (Train): -5.19 | Mean fitness (Train): -38.91 | Mean fitness (Test): -59.27
