Sat 18 Oct 2025 23:21:32 IDT

SLURM_JOBID:		 7559340
SLURM_JOB_NODELIST:	 ise-cpu256-16 

configuration parmas running: problem_type=brax es_algorithms=DES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1018 23:21:52.343664  717942 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/0]
Generation 016 | Mean fitness (Test): -38.64
Generation 032 | Mean fitness (Test): -22.63
Generation 048 | Mean fitness (Test): -7.37
Generation 064 | Mean fitness (Test): -56.43
Generation 080 | Mean fitness (Test): -10.54
Generation 096 | Mean fitness (Test): -40.60
Generation 112 | Mean fitness (Test): -17.37
Generation 128 | Mean fitness (Test): -34.46
Generation 144 | Mean fitness (Test): -7.76
Generation 160 | Mean fitness (Test): -8.88
Generation 176 | Mean fitness (Test): -61.03
Generation 192 | Mean fitness (Test): -9.99
Generation 208 | Mean fitness (Test): -10.33
Generation 224 | Mean fitness (Test): -8.88
Generation 240 | Mean fitness (Test): -8.03
Generation 256 | Mean fitness (Test): -19.13
Generation 272 | Mean fitness (Test): -16.52
Generation 288 | Mean fitness (Test): -10.91
Generation 304 | Mean fitness (Test): -8.28
Generation 320 | Mean fitness (Test): -11.63
Generation 336 | Mean fitness (Test): -10.86
Generation 352 | Mean fitness (Test): -76.80
Generation 368 | Mean fitness (Test): -8.89
Generation 384 | Mean fitness (Test): -9.02
Generation 400 | Mean fitness (Test): -5.92
Generation 416 | Mean fitness (Test): -7.99
Generation 432 | Mean fitness (Test): -5.55
Generation 448 | Mean fitness (Test): -7.81
Generation 464 | Mean fitness (Test): -10.18
Generation 480 | Mean fitness (Test): -7.92
Generation 496 | Mean fitness (Test): -15.22
Generation 512 | Mean fitness (Test): -10.69
Generation 528 | Mean fitness (Test): -8.29
Generation 544 | Mean fitness (Test): -6.91
Generation 560 | Mean fitness (Test): -10.69
Generation 576 | Mean fitness (Test): -17.20
Generation 592 | Mean fitness (Test): -52.58
Generation 608 | Mean fitness (Test): -10.65
Generation 624 | Mean fitness (Test): -10.60
Generation 640 | Mean fitness (Test): -17.97
Generation 656 | Mean fitness (Test): -6.27
Generation 672 | Mean fitness (Test): -8.17
Generation 688 | Mean fitness (Test): -8.12
Generation 704 | Mean fitness (Test): -10.77
Generation 720 | Mean fitness (Test): -7.23
Generation 736 | Mean fitness (Test): -13.22
Generation 752 | Mean fitness (Test): -6.54
Generation 768 | Mean fitness (Test): -54.68
Generation 784 | Mean fitness (Test): -6.39
Generation 800 | Mean fitness (Test): -5.86
Generation 816 | Mean fitness (Test): -7.08
Generation 832 | Mean fitness (Test): -78.09
Generation 848 | Mean fitness (Test): -4.39
Generation 864 | Mean fitness (Test): -57.06
Generation 880 | Mean fitness (Test): -11.17
Generation 896 | Mean fitness (Test): -8.92
Generation 912 | Mean fitness (Test): -7.81
Generation 928 | Mean fitness (Test): -103.78
Generation 944 | Mean fitness (Test): -6.98
Generation 960 | Mean fitness (Test): -7.30
Generation 976 | Mean fitness (Test): -11.81
Generation 992 | Mean fitness (Test): -6.06
Generation 1008 | Mean fitness (Test): -10.75
Generation 1024 | Mean fitness (Test): -31.82
Generation 1040 | Mean fitness (Test): -6.00
Generation 1056 | Mean fitness (Test): -9.58
Generation 1072 | Mean fitness (Test): -4.68
Generation 1088 | Mean fitness (Test): -6.78
Generation 1104 | Mean fitness (Test): -15.90
Generation 1120 | Mean fitness (Test): -15.99
Generation 1136 | Mean fitness (Test): -6.78
Generation 1152 | Mean fitness (Test): -7.05
Generation 1168 | Mean fitness (Test): -7.96
Generation 1184 | Mean fitness (Test): -33.51
Generation 1200 | Mean fitness (Test): -6.14
Generation 1216 | Mean fitness (Test): -8.31
Generation 1232 | Mean fitness (Test): -5.26
Generation 1248 | Mean fitness (Test): -22.89
Generation 1264 | Mean fitness (Test): -11.24
Generation 1280 | Mean fitness (Test): -54.88
Generation 1296 | Mean fitness (Test): -5.37
Generation 1312 | Mean fitness (Test): -6.82
Generation 1328 | Mean fitness (Test): -12.19
Generation 1344 | Mean fitness (Test): -10.86
Generation 1360 | Mean fitness (Test): -5.00
Generation 1376 | Mean fitness (Test): -5.16
Generation 1392 | Mean fitness (Test): -9.14
Generation 1408 | Mean fitness (Test): -66.86
Generation 1424 | Mean fitness (Test): -12.25
Generation 1440 | Mean fitness (Test): -23.44
Generation 1456 | Mean fitness (Test): -9.11
Generation 1472 | Mean fitness (Test): -14.49
Generation 1488 | Mean fitness (Test): -5.52
Generation 1504 | Mean fitness (Test): -7.55
Generation 1520 | Mean fitness (Test): -12.12
Generation 1536 | Mean fitness (Test): -16.18
Generation 1552 | Mean fitness (Test): -27.00
Generation 1568 | Mean fitness (Test): -5.01
Generation 1584 | Mean fitness (Test): -6.64
Generation 1600 | Mean fitness (Test): -5.81
Generation 1616 | Mean fitness (Test): -9.54
Generation 1632 | Mean fitness (Test): -8.10
Generation 1648 | Mean fitness (Test): -10.21
Generation 1664 | Mean fitness (Test): -6.43
Generation 1680 | Mean fitness (Test): -6.37
Generation 1696 | Mean fitness (Test): -6.55
Generation 1712 | Mean fitness (Test): -9.44
Generation 1728 | Mean fitness (Test): -4.15
Generation 1744 | Mean fitness (Test): -4.52
Generation 1760 | Mean fitness (Test): -8.91
Generation 1776 | Mean fitness (Test): -10.40
Generation 1792 | Mean fitness (Test): -120.18
Generation 1808 | Mean fitness (Test): -104.93
Generation 1824 | Mean fitness (Test): -5.91
Generation 1840 | Mean fitness (Test): -4.80
Generation 1856 | Mean fitness (Test): -6.66
Generation 1872 | Mean fitness (Test): -3.05
Generation 1888 | Mean fitness (Test): -10.68
Generation 1904 | Mean fitness (Test): -13.19
Generation 1920 | Mean fitness (Test): -3.46
Generation 1936 | Mean fitness (Test): -32.26
Generation 1952 | Mean fitness (Test): -3.23
Generation 1968 | Mean fitness (Test): -8.96
Generation 1984 | Mean fitness (Test): -6.58
Generation 2000 | Mean fitness (Test): -9.32
running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/1]
Generation 016 | Mean fitness (Test): -133.32
Generation 032 | Mean fitness (Test): -52.82
Generation 048 | Mean fitness (Test): -81.40
Generation 064 | Mean fitness (Test): -66.74
Generation 080 | Mean fitness (Test): -41.78
Generation 096 | Mean fitness (Test): -73.15
Generation 112 | Mean fitness (Test): -166.80
Generation 128 | Mean fitness (Test): -12.84
Generation 144 | Mean fitness (Test): -15.04
Generation 160 | Mean fitness (Test): -8.03
Generation 176 | Mean fitness (Test): -17.03
Generation 192 | Mean fitness (Test): -14.35
Generation 208 | Mean fitness (Test): -10.53
Generation 224 | Mean fitness (Test): -12.38
Generation 240 | Mean fitness (Test): -44.26
Generation 256 | Mean fitness (Test): -20.34
Generation 272 | Mean fitness (Test): -15.53
Generation 288 | Mean fitness (Test): -44.43
Generation 304 | Mean fitness (Test): -6.95
Generation 320 | Mean fitness (Test): -8.30
Generation 336 | Mean fitness (Test): -6.48
Generation 352 | Mean fitness (Test): -13.66
Generation 368 | Mean fitness (Test): -38.93
Generation 384 | Mean fitness (Test): -6.35
Generation 400 | Mean fitness (Test): -47.91
Generation 416 | Mean fitness (Test): -12.43
Generation 432 | Mean fitness (Test): -10.54
Generation 448 | Mean fitness (Test): -8.51
Generation 464 | Mean fitness (Test): -12.04
Generation 480 | Mean fitness (Test): -13.41
Generation 496 | Mean fitness (Test): -7.19
Generation 512 | Mean fitness (Test): -5.75
Generation 528 | Mean fitness (Test): -11.25
Generation 544 | Mean fitness (Test): -11.22
Generation 560 | Mean fitness (Test): -6.48
Generation 576 | Mean fitness (Test): -52.93
Generation 592 | Mean fitness (Test): -14.69
Generation 608 | Mean fitness (Test): -6.42
Generation 624 | Mean fitness (Test): -105.24
Generation 640 | Mean fitness (Test): -7.13
Generation 656 | Mean fitness (Test): -28.52
Generation 672 | Mean fitness (Test): -11.30
Generation 688 | Mean fitness (Test): -12.18
Generation 704 | Mean fitness (Test): -158.52
Generation 720 | Mean fitness (Test): -6.56
Generation 736 | Mean fitness (Test): -6.63
Generation 752 | Mean fitness (Test): -17.10
Generation 768 | Mean fitness (Test): -12.02
Generation 784 | Mean fitness (Test): -13.28
Generation 800 | Mean fitness (Test): -7.29
Generation 816 | Mean fitness (Test): -8.93
Generation 832 | Mean fitness (Test): -8.71
Generation 848 | Mean fitness (Test): -12.94
Generation 864 | Mean fitness (Test): -9.00
Generation 880 | Mean fitness (Test): -6.40
Generation 896 | Mean fitness (Test): -10.71
Generation 912 | Mean fitness (Test): -59.28
Generation 928 | Mean fitness (Test): -10.61
Generation 944 | Mean fitness (Test): -8.01
Generation 960 | Mean fitness (Test): -5.22
Generation 976 | Mean fitness (Test): -16.67
Generation 992 | Mean fitness (Test): -6.07
Generation 1008 | Mean fitness (Test): -25.05
Generation 1024 | Mean fitness (Test): -10.36
Generation 1040 | Mean fitness (Test): -5.46
Generation 1056 | Mean fitness (Test): -12.13
Generation 1072 | Mean fitness (Test): -43.81
Generation 1088 | Mean fitness (Test): -6.64
Generation 1104 | Mean fitness (Test): -14.81
Generation 1120 | Mean fitness (Test): -13.63
Generation 1136 | Mean fitness (Test): -8.43
Generation 1152 | Mean fitness (Test): -12.48
Generation 1168 | Mean fitness (Test): -6.87
Generation 1184 | Mean fitness (Test): -17.57
Generation 1200 | Mean fitness (Test): -5.89
Generation 1216 | Mean fitness (Test): -7.61
Generation 1232 | Mean fitness (Test): -5.61
Generation 1248 | Mean fitness (Test): -9.97
Generation 1264 | Mean fitness (Test): -10.68
Generation 1280 | Mean fitness (Test): -13.98
Generation 1296 | Mean fitness (Test): -9.11
Generation 1312 | Mean fitness (Test): -50.47
Generation 1328 | Mean fitness (Test): -134.86
Generation 1344 | Mean fitness (Test): -7.92
Generation 1360 | Mean fitness (Test): -6.10
Generation 1376 | Mean fitness (Test): -15.02
Generation 1392 | Mean fitness (Test): -5.83
Generation 1408 | Mean fitness (Test): -22.99
Generation 1424 | Mean fitness (Test): -6.56
Generation 1440 | Mean fitness (Test): -8.65
Generation 1456 | Mean fitness (Test): -14.88
Generation 1472 | Mean fitness (Test): -7.07
Generation 1488 | Mean fitness (Test): -8.47
Generation 1504 | Mean fitness (Test): -76.72
Generation 1520 | Mean fitness (Test): -9.24
Generation 1536 | Mean fitness (Test): -6.46
Generation 1552 | Mean fitness (Test): -9.65
Generation 1568 | Mean fitness (Test): -7.58
Generation 1584 | Mean fitness (Test): -11.06
Generation 1600 | Mean fitness (Test): -12.64
Generation 1616 | Mean fitness (Test): -18.09
Generation 1632 | Mean fitness (Test): -6.10
Generation 1648 | Mean fitness (Test): -15.80
Generation 1664 | Mean fitness (Test): -11.14
Generation 1680 | Mean fitness (Test): -5.63
Generation 1696 | Mean fitness (Test): -7.46
Generation 1712 | Mean fitness (Test): -32.83
Generation 1728 | Mean fitness (Test): -5.62
Generation 1744 | Mean fitness (Test): -5.61
Generation 1760 | Mean fitness (Test): -5.91
Generation 1776 | Mean fitness (Test): -7.37
