Tue 11 Nov 2025 15:25:06 IST

SLURM_JOBID:		 8108723
SLURM_JOB_NODELIST:	 ise-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=DES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:25:24.493127 1647371 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/DiscoveredES/0]
Generation 010 | Best fitness (Train): 81.93 | Best fitness in generation (Train): 69.76 | Mean fitness (Train): 25.77 | Mean fitness (Test): 110.20
Generation 020 | Best fitness (Train): 101.94 | Best fitness in generation (Train): 76.12 | Mean fitness (Train): 31.70 | Mean fitness (Test): 281.86
Generation 030 | Best fitness (Train): 134.69 | Best fitness in generation (Train): 124.82 | Mean fitness (Train): 41.00 | Mean fitness (Test): 418.42
Generation 040 | Best fitness (Train): 210.20 | Best fitness in generation (Train): 210.20 | Mean fitness (Train): 51.79 | Mean fitness (Test): 416.58
Generation 050 | Best fitness (Train): 670.20 | Best fitness in generation (Train): 225.05 | Mean fitness (Train): 79.59 | Mean fitness (Test): 617.51
Generation 060 | Best fitness (Train): 670.20 | Best fitness in generation (Train): 515.90 | Mean fitness (Train): 111.87 | Mean fitness (Test): 728.94
Generation 070 | Best fitness (Train): 670.20 | Best fitness in generation (Train): 612.54 | Mean fitness (Train): 135.86 | Mean fitness (Test): 725.87
Generation 080 | Best fitness (Train): 905.27 | Best fitness in generation (Train): 905.27 | Mean fitness (Train): 155.73 | Mean fitness (Test): 692.90
Generation 090 | Best fitness (Train): 905.27 | Best fitness in generation (Train): 650.73 | Mean fitness (Train): 199.95 | Mean fitness (Test): 727.04
Generation 100 | Best fitness (Train): 905.27 | Best fitness in generation (Train): 838.34 | Mean fitness (Train): 258.46 | Mean fitness (Test): 861.32
Generation 110 | Best fitness (Train): 1028.53 | Best fitness in generation (Train): 881.28 | Mean fitness (Train): 308.76 | Mean fitness (Test): 933.29
Generation 120 | Best fitness (Train): 1237.15 | Best fitness in generation (Train): 1007.29 | Mean fitness (Train): 335.33 | Mean fitness (Test): 1079.50
Generation 130 | Best fitness (Train): 1237.15 | Best fitness in generation (Train): 1175.03 | Mean fitness (Train): 406.64 | Mean fitness (Test): 1209.51
Generation 140 | Best fitness (Train): 1237.15 | Best fitness in generation (Train): 1109.87 | Mean fitness (Train): 430.01 | Mean fitness (Test): 1404.78
Generation 150 | Best fitness (Train): 1392.18 | Best fitness in generation (Train): 1101.34 | Mean fitness (Train): 458.80 | Mean fitness (Test): 1168.99
Generation 160 | Best fitness (Train): 1408.74 | Best fitness in generation (Train): 1357.19 | Mean fitness (Train): 570.15 | Mean fitness (Test): 1428.86
Generation 170 | Best fitness (Train): 1530.26 | Best fitness in generation (Train): 1376.17 | Mean fitness (Train): 582.01 | Mean fitness (Test): 1590.81
Generation 180 | Best fitness (Train): 1530.26 | Best fitness in generation (Train): 1296.05 | Mean fitness (Train): 680.62 | Mean fitness (Test): 1656.65
Generation 190 | Best fitness (Train): 1761.53 | Best fitness in generation (Train): 1627.10 | Mean fitness (Train): 682.12 | Mean fitness (Test): 1777.73
Generation 200 | Best fitness (Train): 1761.53 | Best fitness in generation (Train): 1554.69 | Mean fitness (Train): 704.91 | Mean fitness (Test): 1697.67
Generation 210 | Best fitness (Train): 1761.53 | Best fitness in generation (Train): 1327.86 | Mean fitness (Train): 707.68 | Mean fitness (Test): 1719.92
Generation 220 | Best fitness (Train): 1761.53 | Best fitness in generation (Train): 1610.35 | Mean fitness (Train): 794.06 | Mean fitness (Test): 1685.89
Generation 230 | Best fitness (Train): 1761.53 | Best fitness in generation (Train): 1612.79 | Mean fitness (Train): 860.56 | Mean fitness (Test): 1774.31
Generation 240 | Best fitness (Train): 1828.38 | Best fitness in generation (Train): 1689.16 | Mean fitness (Train): 864.72 | Mean fitness (Test): 1727.65
Generation 250 | Best fitness (Train): 1828.38 | Best fitness in generation (Train): 1692.36 | Mean fitness (Train): 950.23 | Mean fitness (Test): 2028.72
Generation 260 | Best fitness (Train): 1828.38 | Best fitness in generation (Train): 1652.68 | Mean fitness (Train): 939.88 | Mean fitness (Test): 2031.13
Generation 270 | Best fitness (Train): 1897.87 | Best fitness in generation (Train): 1763.03 | Mean fitness (Train): 1004.64 | Mean fitness (Test): 2002.04
Generation 280 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1753.17 | Mean fitness (Train): 982.11 | Mean fitness (Test): 1928.24
Generation 290 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1660.77 | Mean fitness (Train): 1022.86 | Mean fitness (Test): 2139.86
Generation 300 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1944.61 | Mean fitness (Train): 1001.76 | Mean fitness (Test): 2121.37
Generation 310 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1867.69 | Mean fitness (Train): 1068.32 | Mean fitness (Test): 2126.83
Generation 320 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1998.24 | Mean fitness (Train): 1127.78 | Mean fitness (Test): 2000.10
Generation 330 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1765.77 | Mean fitness (Train): 1094.72 | Mean fitness (Test): 2050.93
Generation 340 | Best fitness (Train): 2071.06 | Best fitness in generation (Train): 1900.08 | Mean fitness (Train): 1180.50 | Mean fitness (Test): 2134.61
Generation 350 | Best fitness (Train): 2118.35 | Best fitness in generation (Train): 1976.22 | Mean fitness (Train): 1211.83 | Mean fitness (Test): 2211.20
Generation 360 | Best fitness (Train): 2118.35 | Best fitness in generation (Train): 1978.32 | Mean fitness (Train): 1208.86 | Mean fitness (Test): 2232.94
Generation 370 | Best fitness (Train): 2118.35 | Best fitness in generation (Train): 1959.76 | Mean fitness (Train): 1277.20 | Mean fitness (Test): 2308.68
Generation 380 | Best fitness (Train): 2131.03 | Best fitness in generation (Train): 2094.84 | Mean fitness (Train): 1319.01 | Mean fitness (Test): 2051.72
Generation 390 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 1955.83 | Mean fitness (Train): 1275.61 | Mean fitness (Test): 2133.12
Generation 400 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2066.67 | Mean fitness (Train): 1357.49 | Mean fitness (Test): 2322.23
Generation 410 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2077.00 | Mean fitness (Train): 1361.50 | Mean fitness (Test): 2317.39
Generation 420 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2186.58 | Mean fitness (Train): 1467.69 | Mean fitness (Test): 2388.56
Generation 430 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2220.92 | Mean fitness (Train): 1440.16 | Mean fitness (Test): 2273.02
Generation 440 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2184.06 | Mean fitness (Train): 1425.18 | Mean fitness (Test): 2517.35
Generation 450 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2247.72 | Mean fitness (Train): 1505.87 | Mean fitness (Test): 2446.98
Generation 460 | Best fitness (Train): 2285.32 | Best fitness in generation (Train): 2238.56 | Mean fitness (Train): 1528.69 | Mean fitness (Test): 2350.00
Generation 470 | Best fitness (Train): 2312.14 | Best fitness in generation (Train): 2227.68 | Mean fitness (Train): 1545.79 | Mean fitness (Test): 2469.88
Generation 480 | Best fitness (Train): 2312.14 | Best fitness in generation (Train): 2208.85 | Mean fitness (Train): 1584.01 | Mean fitness (Test): 2486.65
Generation 490 | Best fitness (Train): 2312.14 | Best fitness in generation (Train): 2222.13 | Mean fitness (Train): 1616.92 | Mean fitness (Test): 2545.41
Generation 500 | Best fitness (Train): 2390.75 | Best fitness in generation (Train): 2187.14 | Mean fitness (Train): 1551.53 | Mean fitness (Test): 2335.73
Generation 510 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): 2184.63 | Mean fitness (Train): 1599.60 | Mean fitness (Test): 2505.78
Generation 520 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): 2375.51 | Mean fitness (Train): 1600.95 | Mean fitness (Test): 2433.51
Generation 530 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 540 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 550 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 560 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 570 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 580 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 590 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 600 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 610 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 620 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 630 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 640 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 650 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 660 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 670 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 680 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 690 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 700 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 710 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 720 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 730 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 740 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 750 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 760 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 770 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 780 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 790 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 800 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 810 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 820 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 830 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 840 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 850 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 860 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 870 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 880 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 890 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 900 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 910 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 920 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 930 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 940 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 950 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 960 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 970 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 980 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
Generation 990 | Best fitness (Train): 2449.26 | Best fitness in generation (Train): nan | Mean fitness (Train): nan | Mean fitness (Test): nan
