Sun 19 Oct 2025 14:25:35 IDT

SLURM_JOBID:		 7559339
SLURM_JOB_NODELIST:	 ee-l40s-01 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1019 14:25:52.809933 3158878 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

there is experiment results. [../../results/BraxProblem/ant/LearnedES/0]
there is experiment results. [../../results/BraxProblem/ant/LearnedES/1]
there is experiment results. [../../results/BraxProblem/ant/LearnedES/2]
running the experiment ... [../../results/BraxProblem/ant/LearnedES/3]
Generation 016 | Mean fitness (Test): -39.64
Generation 032 | Mean fitness (Test): -16.25
Generation 048 | Mean fitness (Test): -35.14
Generation 064 | Mean fitness (Test): -34.96
Generation 080 | Mean fitness (Test): -63.07
Generation 096 | Mean fitness (Test): -110.51
Generation 112 | Mean fitness (Test): -228.11
Generation 128 | Mean fitness (Test): -15.41
Generation 144 | Mean fitness (Test): -14.01
Generation 160 | Mean fitness (Test): -99.67
Generation 176 | Mean fitness (Test): -109.37
Generation 192 | Mean fitness (Test): -95.89
Generation 208 | Mean fitness (Test): -64.19
Generation 224 | Mean fitness (Test): -95.82
Generation 240 | Mean fitness (Test): -101.02
Generation 256 | Mean fitness (Test): -26.67
Generation 272 | Mean fitness (Test): -64.78
Generation 288 | Mean fitness (Test): -94.62
Generation 304 | Mean fitness (Test): -15.84
Generation 320 | Mean fitness (Test): -12.25
Generation 336 | Mean fitness (Test): -7.24
Generation 352 | Mean fitness (Test): -68.49
Generation 368 | Mean fitness (Test): -22.14
Generation 384 | Mean fitness (Test): -33.77
Generation 400 | Mean fitness (Test): -55.80
Generation 416 | Mean fitness (Test): -12.86
Generation 432 | Mean fitness (Test): -23.73
Generation 448 | Mean fitness (Test): -20.42
Generation 464 | Mean fitness (Test): -20.36
Generation 480 | Mean fitness (Test): -109.77
Generation 496 | Mean fitness (Test): -72.08
Generation 512 | Mean fitness (Test): -27.44
Generation 528 | Mean fitness (Test): -38.06
Generation 544 | Mean fitness (Test): -33.15
Generation 560 | Mean fitness (Test): -39.68
Generation 576 | Mean fitness (Test): -58.16
Generation 592 | Mean fitness (Test): -48.24
Generation 608 | Mean fitness (Test): -18.17
Generation 624 | Mean fitness (Test): -33.67
Generation 640 | Mean fitness (Test): -27.93
Generation 656 | Mean fitness (Test): -48.86
Generation 672 | Mean fitness (Test): -77.58
Generation 688 | Mean fitness (Test): -76.18
Generation 704 | Mean fitness (Test): -45.56
Generation 720 | Mean fitness (Test): -26.11
Generation 736 | Mean fitness (Test): -61.40
Generation 752 | Mean fitness (Test): -16.39
Generation 768 | Mean fitness (Test): -15.01
Generation 784 | Mean fitness (Test): -26.73
Generation 800 | Mean fitness (Test): -65.32
Generation 816 | Mean fitness (Test): -38.95
Generation 832 | Mean fitness (Test): -15.38
Generation 848 | Mean fitness (Test): -75.11
Generation 864 | Mean fitness (Test): -18.07
Generation 880 | Mean fitness (Test): -84.73
Generation 896 | Mean fitness (Test): -28.10
Generation 912 | Mean fitness (Test): -20.91
Generation 928 | Mean fitness (Test): -76.69
Generation 944 | Mean fitness (Test): -73.97
Generation 960 | Mean fitness (Test): -11.81
Generation 976 | Mean fitness (Test): -42.05
Generation 992 | Mean fitness (Test): -49.38
Generation 1008 | Mean fitness (Test): -19.12
Generation 1024 | Mean fitness (Test): -97.77
Generation 1040 | Mean fitness (Test): -26.12
Generation 1056 | Mean fitness (Test): -75.89
Generation 1072 | Mean fitness (Test): -39.31
Generation 1088 | Mean fitness (Test): -9.54
Generation 1104 | Mean fitness (Test): -22.96
Generation 1120 | Mean fitness (Test): -34.70
Generation 1136 | Mean fitness (Test): -31.14
Generation 1152 | Mean fitness (Test): -32.88
Generation 1168 | Mean fitness (Test): -122.03
Generation 1184 | Mean fitness (Test): -18.55
Generation 1200 | Mean fitness (Test): -43.35
Generation 1216 | Mean fitness (Test): -9.55
Generation 1232 | Mean fitness (Test): -14.94
Generation 1248 | Mean fitness (Test): -20.15
Generation 1264 | Mean fitness (Test): -103.97
Generation 1280 | Mean fitness (Test): -9.27
Generation 1296 | Mean fitness (Test): -44.24
Generation 1312 | Mean fitness (Test): -48.24
Generation 1328 | Mean fitness (Test): -90.52
Generation 1344 | Mean fitness (Test): -8.67
Generation 1360 | Mean fitness (Test): -79.14
Generation 1376 | Mean fitness (Test): -12.98
Generation 1392 | Mean fitness (Test): -13.34
Generation 1408 | Mean fitness (Test): -74.20
Generation 1424 | Mean fitness (Test): -125.22
Generation 1440 | Mean fitness (Test): -11.82
Generation 1456 | Mean fitness (Test): -39.57
Generation 1472 | Mean fitness (Test): -11.86
Generation 1488 | Mean fitness (Test): -53.12
Generation 1504 | Mean fitness (Test): -148.21
Generation 1520 | Mean fitness (Test): -20.10
Generation 1536 | Mean fitness (Test): -16.17
Generation 1552 | Mean fitness (Test): -18.06
Generation 1568 | Mean fitness (Test): -11.02
Generation 1584 | Mean fitness (Test): -123.27
Generation 1600 | Mean fitness (Test): -17.69
Generation 1616 | Mean fitness (Test): -45.41
Generation 1632 | Mean fitness (Test): -94.60
Generation 1648 | Mean fitness (Test): -25.42
Generation 1664 | Mean fitness (Test): -9.87
Generation 1680 | Mean fitness (Test): -42.60
Generation 1696 | Mean fitness (Test): -44.00
Generation 1712 | Mean fitness (Test): -126.35
Generation 1728 | Mean fitness (Test): -42.00
Generation 1744 | Mean fitness (Test): -28.57
Generation 1760 | Mean fitness (Test): -19.58
Generation 1776 | Mean fitness (Test): -19.70
Generation 1792 | Mean fitness (Test): -184.89
Generation 1808 | Mean fitness (Test): -10.79
Generation 1824 | Mean fitness (Test): -85.14
Generation 1840 | Mean fitness (Test): nan
Generation 1856 | Mean fitness (Test): nan
Generation 1872 | Mean fitness (Test): nan
Generation 1888 | Mean fitness (Test): nan
Generation 1904 | Mean fitness (Test): nan
Generation 1920 | Mean fitness (Test): nan
Generation 1936 | Mean fitness (Test): nan
Generation 1952 | Mean fitness (Test): nan
Generation 1968 | Mean fitness (Test): nan
Generation 1984 | Mean fitness (Test): nan
Generation 2000 | Mean fitness (Test): nan
running the experiment ... [../../results/BraxProblem/ant/LearnedES/4]
Generation 016 | Mean fitness (Test): -23.71
Generation 032 | Mean fitness (Test): -29.62
Generation 048 | Mean fitness (Test): -23.25
Generation 064 | Mean fitness (Test): -47.15
Generation 080 | Mean fitness (Test): -56.76
Generation 096 | Mean fitness (Test): -9.08
Generation 112 | Mean fitness (Test): -39.75
Generation 128 | Mean fitness (Test): -9.48
Generation 144 | Mean fitness (Test): -200.08
Generation 160 | Mean fitness (Test): -41.88
Generation 176 | Mean fitness (Test): -73.53
Generation 192 | Mean fitness (Test): -39.68
Generation 208 | Mean fitness (Test): -89.11
Generation 224 | Mean fitness (Test): -55.70
Generation 240 | Mean fitness (Test): -14.48
Generation 256 | Mean fitness (Test): -12.07
Generation 272 | Mean fitness (Test): -81.08
Generation 288 | Mean fitness (Test): -102.25
Generation 304 | Mean fitness (Test): -12.72
Generation 320 | Mean fitness (Test): -6.27
Generation 336 | Mean fitness (Test): -54.97
