Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 010 | Best fitness (Train): -5.31 | Best fitness in generation (Train): -7.03 | Mean fitness (Train): -52.58 | Mean fitness (Test): -24.86
Generation 020 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -7.57 | Mean fitness (Train): -55.75 | Mean fitness (Test): -81.20
Generation 030 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -11.21 | Mean fitness (Train): -47.44 | Mean fitness (Test): -16.55
Generation 040 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -6.10 | Mean fitness (Train): -48.17 | Mean fitness (Test): -26.29
Generation 050 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -5.88 | Mean fitness (Train): -25.11 | Mean fitness (Test): -14.56
Generation 060 | Best fitness (Train): -4.14 | Best fitness in generation (Train): -9.64 | Mean fitness (Train): -50.52 | Mean fitness (Test): -14.41
Generation 070 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -3.20 | Mean fitness (Train): -33.89 | Mean fitness (Test): -58.03
Generation 080 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -7.88 | Mean fitness (Train): -50.72 | Mean fitness (Test): -27.93
Generation 090 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -5.35 | Mean fitness (Train): -54.35 | Mean fitness (Test): -29.47
Generation 100 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -6.54 | Mean fitness (Train): -43.40 | Mean fitness (Test): -77.74
Generation 110 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -8.59 | Mean fitness (Train): -61.33 | Mean fitness (Test): -17.27
Generation 120 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -7.65 | Mean fitness (Train): -28.88 | Mean fitness (Test): -27.49
Generation 130 | Best fitness (Train): -3.20 | Best fitness in generation (Train): -6.12 | Mean fitness (Train): -54.55 | Mean fitness (Test): -38.54
Generation 140 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -7.29 | Mean fitness (Train): -45.67 | Mean fitness (Test): -66.83
Generation 150 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -6.24 | Mean fitness (Train): -49.57 | Mean fitness (Test): -95.72
Generation 160 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -7.02 | Mean fitness (Train): -53.68 | Mean fitness (Test): -46.95
Generation 170 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -5.58 | Mean fitness (Train): -41.95 | Mean fitness (Test): -15.82
Generation 180 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -5.69 | Mean fitness (Train): -50.58 | Mean fitness (Test): -163.93
Generation 190 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -7.04 | Mean fitness (Train): -51.96 | Mean fitness (Test): -41.72
Generation 200 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -7.47 | Mean fitness (Train): -28.51 | Mean fitness (Test): -15.53
Generation 210 | Best fitness (Train): -2.79 | Best fitness in generation (Train): -4.77 | Mean fitness (Train): -25.16 | Mean fitness (Test): -15.54
