Sun 19 Oct 2025 14:26:25 IDT

SLURM_JOBID:		 7559342
SLURM_JOB_NODELIST:	 ee-l40s-01 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1019 14:26:38.652401 3160735 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

there is experiment results. [../../results/BraxProblem/ant/Open_ES/0]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/1]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/2]
running the experiment ... [../../results/BraxProblem/ant/Open_ES/3]
Generation 016 | Mean fitness (Test): -46.72
Generation 032 | Mean fitness (Test): -9.72
Generation 048 | Mean fitness (Test): -12.95
Generation 064 | Mean fitness (Test): -14.44
Generation 080 | Mean fitness (Test): -57.39
Generation 096 | Mean fitness (Test): -40.82
Generation 112 | Mean fitness (Test): -19.34
Generation 128 | Mean fitness (Test): -41.34
Generation 144 | Mean fitness (Test): -7.81
Generation 160 | Mean fitness (Test): -91.41
Generation 176 | Mean fitness (Test): -17.76
Generation 192 | Mean fitness (Test): -38.90
Generation 208 | Mean fitness (Test): -32.41
Generation 224 | Mean fitness (Test): -12.83
Generation 240 | Mean fitness (Test): -67.04
Generation 256 | Mean fitness (Test): -12.11
Generation 272 | Mean fitness (Test): -17.79
Generation 288 | Mean fitness (Test): -65.58
Generation 304 | Mean fitness (Test): -8.33
Generation 320 | Mean fitness (Test): -34.92
Generation 336 | Mean fitness (Test): -11.80
Generation 352 | Mean fitness (Test): -228.36
Generation 368 | Mean fitness (Test): -7.59
Generation 384 | Mean fitness (Test): -10.45
Generation 400 | Mean fitness (Test): -8.69
Generation 416 | Mean fitness (Test): -9.40
Generation 432 | Mean fitness (Test): -10.06
Generation 448 | Mean fitness (Test): -7.53
Generation 464 | Mean fitness (Test): -11.79
Generation 480 | Mean fitness (Test): -18.17
Generation 496 | Mean fitness (Test): -22.27
Generation 512 | Mean fitness (Test): -16.43
Generation 528 | Mean fitness (Test): -65.98
Generation 544 | Mean fitness (Test): -11.52
Generation 560 | Mean fitness (Test): -13.98
Generation 576 | Mean fitness (Test): -13.41
Generation 592 | Mean fitness (Test): -49.29
Generation 608 | Mean fitness (Test): -12.03
Generation 624 | Mean fitness (Test): -8.99
Generation 640 | Mean fitness (Test): -43.37
Generation 656 | Mean fitness (Test): -47.84
Generation 672 | Mean fitness (Test): -5.83
Generation 688 | Mean fitness (Test): -43.38
Generation 704 | Mean fitness (Test): -15.71
Generation 720 | Mean fitness (Test): -19.27
Generation 736 | Mean fitness (Test): -8.25
