Wed 22 Oct 2025 00:00:46 IDT

SLURM_JOBID:		 7713647
SLURM_JOB_NODELIST:	 ise-6000-08 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|                                                                 | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1022 00:01:21.852164  242557 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

there is experiment results. [../../results/BraxProblem/ant/Open_ES/0]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/1]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/2]
there is experiment results. [../../results/BraxProblem/ant/Open_ES/3]
running the experiment ... [../../results/BraxProblem/ant/Open_ES/4]
Generation 016 | Mean fitness (Test): -44.65
Generation 032 | Mean fitness (Test): -16.33
Generation 048 | Mean fitness (Test): -20.70
Generation 064 | Mean fitness (Test): -93.83
Generation 080 | Mean fitness (Test): -12.53
Generation 096 | Mean fitness (Test): -24.83
Generation 112 | Mean fitness (Test): -34.67
Generation 128 | Mean fitness (Test): -29.89
Generation 144 | Mean fitness (Test): -36.31
Generation 160 | Mean fitness (Test): -15.58
Generation 176 | Mean fitness (Test): -16.72
Generation 192 | Mean fitness (Test): -19.64
Generation 208 | Mean fitness (Test): -12.65
Generation 224 | Mean fitness (Test): -67.02
Generation 240 | Mean fitness (Test): -70.39
Generation 256 | Mean fitness (Test): -127.90
Generation 272 | Mean fitness (Test): -7.86
Generation 288 | Mean fitness (Test): -12.71
Generation 304 | Mean fitness (Test): -40.38
Generation 320 | Mean fitness (Test): -9.24
Generation 336 | Mean fitness (Test): -48.51
Generation 352 | Mean fitness (Test): -23.54
Generation 368 | Mean fitness (Test): -103.38
Generation 384 | Mean fitness (Test): -13.35
Generation 400 | Mean fitness (Test): -26.85
Generation 416 | Mean fitness (Test): -8.90
Generation 432 | Mean fitness (Test): -14.29
Generation 448 | Mean fitness (Test): -19.88
Generation 464 | Mean fitness (Test): -10.58
Generation 480 | Mean fitness (Test): -18.80
Generation 496 | Mean fitness (Test): -13.41
Generation 512 | Mean fitness (Test): -12.45
Generation 528 | Mean fitness (Test): -11.47
Generation 544 | Mean fitness (Test): -10.39
Generation 560 | Mean fitness (Test): -11.78
Generation 576 | Mean fitness (Test): -10.42
Generation 592 | Mean fitness (Test): -14.60
Generation 608 | Mean fitness (Test): -158.12
Generation 624 | Mean fitness (Test): -40.92
Generation 640 | Mean fitness (Test): -70.99
Generation 656 | Mean fitness (Test): -28.21
Generation 672 | Mean fitness (Test): -9.09
Generation 688 | Mean fitness (Test): -8.51
Generation 704 | Mean fitness (Test): -9.56
Generation 720 | Mean fitness (Test): -13.40
Generation 736 | Mean fitness (Test): -12.63
Generation 752 | Mean fitness (Test): -36.86
Generation 768 | Mean fitness (Test): -45.56
Generation 784 | Mean fitness (Test): -35.51
Generation 800 | Mean fitness (Test): -16.40
Generation 816 | Mean fitness (Test): -7.47
Generation 832 | Mean fitness (Test): -39.52
Generation 848 | Mean fitness (Test): -36.04
Generation 864 | Mean fitness (Test): -17.02
Generation 880 | Mean fitness (Test): -14.49
Generation 896 | Mean fitness (Test): -14.23
Generation 912 | Mean fitness (Test): -17.51
Generation 928 | Mean fitness (Test): -11.95
Generation 944 | Mean fitness (Test): -28.82
Generation 960 | Mean fitness (Test): -7.64
Generation 976 | Mean fitness (Test): -8.66
Generation 992 | Mean fitness (Test): -8.46
Generation 1008 | Mean fitness (Test): -91.28
Generation 1024 | Mean fitness (Test): -9.51
Generation 1040 | Mean fitness (Test): -6.94
Generation 1056 | Mean fitness (Test): -14.79
Generation 1072 | Mean fitness (Test): -45.53
Generation 1088 | Mean fitness (Test): -10.90
Generation 1104 | Mean fitness (Test): -41.91
Generation 1120 | Mean fitness (Test): -6.85
Generation 1136 | Mean fitness (Test): -5.44
Generation 1152 | Mean fitness (Test): -16.54
Generation 1168 | Mean fitness (Test): -5.59
Generation 1184 | Mean fitness (Test): -15.39
Generation 1200 | Mean fitness (Test): -10.06
Generation 1216 | Mean fitness (Test): -10.50
Generation 1232 | Mean fitness (Test): -41.45
Generation 1248 | Mean fitness (Test): -6.88
Generation 1264 | Mean fitness (Test): -6.38
Generation 1280 | Mean fitness (Test): -5.39
Generation 1296 | Mean fitness (Test): -10.44
Generation 1312 | Mean fitness (Test): -6.41
Generation 1328 | Mean fitness (Test): -9.92
Generation 1344 | Mean fitness (Test): -40.12
Generation 1360 | Mean fitness (Test): -39.34
Generation 1376 | Mean fitness (Test): -17.15
Generation 1392 | Mean fitness (Test): -9.28
Generation 1408 | Mean fitness (Test): -8.25
Generation 1424 | Mean fitness (Test): -18.33
Generation 1440 | Mean fitness (Test): -43.56
Generation 1456 | Mean fitness (Test): -4.49
Generation 1472 | Mean fitness (Test): -11.37
Generation 1488 | Mean fitness (Test): -7.33
Generation 1504 | Mean fitness (Test): -29.37
Generation 1520 | Mean fitness (Test): -11.72
Generation 1536 | Mean fitness (Test): -41.22
Generation 1552 | Mean fitness (Test): -26.01
Generation 1568 | Mean fitness (Test): -6.46
Generation 1584 | Mean fitness (Test): -27.21
Generation 1600 | Mean fitness (Test): -4.79
Generation 1616 | Mean fitness (Test): -11.17
Generation 1632 | Mean fitness (Test): -16.95
Generation 1648 | Mean fitness (Test): -13.07
Generation 1664 | Mean fitness (Test): -9.04
Generation 1680 | Mean fitness (Test): -21.31
Generation 1696 | Mean fitness (Test): -14.49
Generation 1712 | Mean fitness (Test): -10.26
Generation 1728 | Mean fitness (Test): -13.69
Generation 1744 | Mean fitness (Test): -8.17
Generation 1760 | Mean fitness (Test): -6.65
Generation 1776 | Mean fitness (Test): -7.47
Generation 1792 | Mean fitness (Test): -10.32
Generation 1808 | Mean fitness (Test): -4.71
Generation 1824 | Mean fitness (Test): -9.86
Generation 1840 | Mean fitness (Test): -11.59
Generation 1856 | Mean fitness (Test): -9.03
Generation 1872 | Mean fitness (Test): -8.84
Generation 1888 | Mean fitness (Test): -11.71
Generation 1904 | Mean fitness (Test): -9.17
Generation 1920 | Mean fitness (Test): -6.72
Generation 1936 | Mean fitness (Test): -11.68
Generation 1952 | Mean fitness (Test): -6.98
Generation 1968 | Mean fitness (Test): -10.31
Generation 1984 | Mean fitness (Test): -12.32
Generation 2000 | Mean fitness (Test): -7.18
Running ES algorithms:   0%|                                                                | 0/1 [00:00<?, ?it/s][A
Running ES algorithms: 100%|███████████████████████████████████████████████████| 1/1 [4:56:05<00:00, 17765.91s/it][ARunning ES algorithms: 100%|███████████████████████████████████████████████████| 1/1 [4:56:05<00:00, 17765.92s/it]
Successfully loaded: fast
Loading Problems ..:   8%|████                                             | 1/12 [4:57:08<54:28:32, 17828.43s/it]
running the experiment ... [../../results/BraxProblem/fast/Open_ES/0]
Generation 016 | Mean fitness (Test): 66867.05
Generation 032 | Mean fitness (Test): 66867.05
Generation 048 | Mean fitness (Test): 66867.05
Generation 064 | Mean fitness (Test): 66867.05
Generation 080 | Mean fitness (Test): 66867.05
Generation 096 | Mean fitness (Test): 66867.05
Generation 112 | Mean fitness (Test): 66867.05
Generation 128 | Mean fitness (Test): 66867.05
Generation 144 | Mean fitness (Test): 66867.05
Generation 160 | Mean fitness (Test): 66867.05
Generation 176 | Mean fitness (Test): 66867.05
Generation 192 | Mean fitness (Test): 66867.05
Generation 208 | Mean fitness (Test): 66867.05
Generation 224 | Mean fitness (Test): 66867.05
Generation 240 | Mean fitness (Test): 66867.05
Generation 256 | Mean fitness (Test): 66867.05
Generation 272 | Mean fitness (Test): 66867.05
Generation 288 | Mean fitness (Test): 66867.05
Generation 304 | Mean fitness (Test): 66867.05
Generation 320 | Mean fitness (Test): 66867.05
Generation 336 | Mean fitness (Test): 66867.05
