Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041818
SLURM_JOB_NODELIST:	 cs-pheno-07 

configuration parmas running: problem_type=brax es_algorithms=Open_ES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:43.006209  544259 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Open_ES/0]
Generation 010 | Best fitness (Train): -5.20 | Best fitness in generation (Train): -6.75 | Mean fitness (Train): -52.66 | Mean fitness (Test): -6.17
Generation 020 | Best fitness (Train): -1.41 | Best fitness in generation (Train): -8.35 | Mean fitness (Train): -57.82 | Mean fitness (Test): -7.94
Generation 030 | Best fitness (Train): -1.41 | Best fitness in generation (Train): -9.06 | Mean fitness (Train): -51.12 | Mean fitness (Test): -30.89
Generation 040 | Best fitness (Train): -1.39 | Best fitness in generation (Train): -1.39 | Mean fitness (Train): -61.85 | Mean fitness (Test): -6.52
Generation 050 | Best fitness (Train): -1.39 | Best fitness in generation (Train): -5.48 | Mean fitness (Train): -46.47 | Mean fitness (Test): -11.79
Generation 060 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -0.36 | Mean fitness (Train): -49.68 | Mean fitness (Test): -2.88
Generation 070 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -5.21 | Mean fitness (Train): -53.97 | Mean fitness (Test): -40.79
Generation 080 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -10.09 | Mean fitness (Train): -47.52 | Mean fitness (Test): -46.61
Generation 090 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -5.37 | Mean fitness (Train): -61.40 | Mean fitness (Test): -44.05
Generation 100 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -8.43 | Mean fitness (Train): -57.14 | Mean fitness (Test): -28.78
Generation 110 | Best fitness (Train): -0.36 | Best fitness in generation (Train): -9.68 | Mean fitness (Train): -54.88 | Mean fitness (Test): -46.84
Generation 120 | Best fitness (Train): -0.26 | Best fitness in generation (Train): -4.21 | Mean fitness (Train): -47.13 | Mean fitness (Test): -6.09
Generation 130 | Best fitness (Train): -0.26 | Best fitness in generation (Train): -8.16 | Mean fitness (Train): -49.34 | Mean fitness (Test): -40.29
Generation 140 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -4.73 | Mean fitness (Train): -48.36 | Mean fitness (Test): -43.44
Generation 150 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.74 | Mean fitness (Train): -49.36 | Mean fitness (Test): -51.85
Generation 160 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -5.65 | Mean fitness (Train): -48.18 | Mean fitness (Test): -10.28
Generation 170 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -9.03 | Mean fitness (Train): -44.27 | Mean fitness (Test): -44.66
Generation 180 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -6.53 | Mean fitness (Train): -45.06 | Mean fitness (Test): -19.51
Generation 190 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.89 | Mean fitness (Train): -44.28 | Mean fitness (Test): -19.28
Generation 200 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -6.28 | Mean fitness (Train): -41.20 | Mean fitness (Test): -11.77
Generation 210 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -4.69 | Mean fitness (Train): -35.51 | Mean fitness (Test): -9.97
Generation 220 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.48 | Mean fitness (Train): -42.13 | Mean fitness (Test): -13.54
Generation 230 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -8.09 | Mean fitness (Train): -46.09 | Mean fitness (Test): -11.36
Generation 240 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.66 | Mean fitness (Train): -36.66 | Mean fitness (Test): -7.73
Generation 250 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -6.76 | Mean fitness (Train): -27.71 | Mean fitness (Test): -10.13
Generation 260 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.73 | Mean fitness (Train): -39.96 | Mean fitness (Test): -15.88
Generation 270 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.44 | Mean fitness (Train): -32.00 | Mean fitness (Test): -35.90
Generation 280 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.59 | Mean fitness (Train): -28.15 | Mean fitness (Test): -12.61
Generation 290 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -7.10 | Mean fitness (Train): -31.47 | Mean fitness (Test): -49.13
Generation 300 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -5.53 | Mean fitness (Train): -11.85 | Mean fitness (Test): -7.07
Generation 310 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -8.41 | Mean fitness (Train): -18.02 | Mean fitness (Test): -9.83
Generation 320 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -4.78 | Mean fitness (Train): -15.97 | Mean fitness (Test): -14.77
Generation 330 | Best fitness (Train): 2.27 | Best fitness in generation (Train): -6.18 | Mean fitness (Train): -18.03 | Mean fitness (Test): -15.22
Generation 340 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -8.19 | Mean fitness (Train): -25.99 | Mean fitness (Test): -13.30
Generation 350 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.43 | Mean fitness (Train): -28.90 | Mean fitness (Test): -17.60
Generation 360 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.18 | Mean fitness (Train): -22.21 | Mean fitness (Test): -30.02
Generation 370 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.21 | Mean fitness (Train): -15.57 | Mean fitness (Test): -8.34
Generation 380 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -5.70 | Mean fitness (Train): -15.81 | Mean fitness (Test): -11.30
Generation 390 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.43 | Mean fitness (Train): -27.74 | Mean fitness (Test): -11.27
Generation 400 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.56 | Mean fitness (Train): -28.88 | Mean fitness (Test): -27.33
Generation 410 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.53 | Mean fitness (Train): -24.34 | Mean fitness (Test): -13.67
Generation 420 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -7.06 | Mean fitness (Train): -14.61 | Mean fitness (Test): -16.06
Generation 430 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.77 | Mean fitness (Train): -22.03 | Mean fitness (Test): -13.90
Generation 440 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.12 | Mean fitness (Train): -10.34 | Mean fitness (Test): -12.48
Generation 450 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.30 | Mean fitness (Train): -21.53 | Mean fitness (Test): -7.50
Generation 460 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.79 | Mean fitness (Train): -15.36 | Mean fitness (Test): -8.85
Generation 470 | Best fitness (Train): 3.23 | Best fitness in generation (Train): -6.90 | Mean fitness (Train): -22.84 | Mean fitness (Test): -9.34
