Fri 17 Oct 2025 00:17:36 IDT

SLURM_JOBID:		 7494501
SLURM_JOB_NODELIST:	 cs-6000-04 

configuration parmas running: problem_type=brax es_algorithms=PGPE,ASEBO,Open_ES,SNES,Sep_CMA_ES,CMA_ES,LES,DES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1017 00:17:54.943296 2425086 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 016 | Mean fitness (Test): -11.74
Generation 032 | Mean fitness (Test): 15.37
Generation 048 | Mean fitness (Test): 33.87
Generation 064 | Mean fitness (Test): -0.42
Generation 080 | Mean fitness (Test): 19.73
Generation 096 | Mean fitness (Test): -9.41
Generation 112 | Mean fitness (Test): -21.32
Generation 128 | Mean fitness (Test): -2.78
Generation 144 | Mean fitness (Test): -22.95
Generation 160 | Mean fitness (Test): -19.54
Generation 176 | Mean fitness (Test): -51.10
Generation 192 | Mean fitness (Test): -32.42
Generation 208 | Mean fitness (Test): -16.72
Generation 224 | Mean fitness (Test): -85.18
Generation 240 | Mean fitness (Test): -16.67
Generation 256 | Mean fitness (Test): -15.63
Generation 272 | Mean fitness (Test): -34.23
Generation 288 | Mean fitness (Test): -11.26
Generation 304 | Mean fitness (Test): -11.81
Generation 320 | Mean fitness (Test): -43.31
Generation 336 | Mean fitness (Test): -36.36
Generation 352 | Mean fitness (Test): -75.76
Generation 368 | Mean fitness (Test): -44.38
Generation 384 | Mean fitness (Test): -21.74
Generation 400 | Mean fitness (Test): -15.51
Generation 416 | Mean fitness (Test): -4.97
Generation 432 | Mean fitness (Test): -9.88
Generation 448 | Mean fitness (Test): -6.21
Generation 464 | Mean fitness (Test): -7.64
Generation 480 | Mean fitness (Test): -33.61
Generation 496 | Mean fitness (Test): -137.17
Generation 512 | Mean fitness (Test): -12.29
Generation 528 | Mean fitness (Test): -10.13
Generation 544 | Mean fitness (Test): -80.44
Generation 560 | Mean fitness (Test): -19.41
Generation 576 | Mean fitness (Test): -15.40
Generation 592 | Mean fitness (Test): -16.33
Generation 608 | Mean fitness (Test): -11.56
Generation 624 | Mean fitness (Test): -8.01
Generation 640 | Mean fitness (Test): -49.65
Generation 656 | Mean fitness (Test): -89.85
Generation 672 | Mean fitness (Test): -2.84
Generation 688 | Mean fitness (Test): -12.76
Generation 704 | Mean fitness (Test): -13.22
Generation 720 | Mean fitness (Test): -44.59
Generation 736 | Mean fitness (Test): -9.33
Generation 752 | Mean fitness (Test): -7.51
Generation 768 | Mean fitness (Test): -20.69
Generation 784 | Mean fitness (Test): -16.42
Generation 800 | Mean fitness (Test): -63.12
Generation 816 | Mean fitness (Test): -5.11
Generation 832 | Mean fitness (Test): -15.90
Generation 848 | Mean fitness (Test): -16.56
Generation 864 | Mean fitness (Test): -31.58
Generation 880 | Mean fitness (Test): -11.61
Generation 896 | Mean fitness (Test): -8.27
Generation 912 | Mean fitness (Test): -7.55
Generation 928 | Mean fitness (Test): -17.81
Generation 944 | Mean fitness (Test): -8.80
Generation 960 | Mean fitness (Test): -45.37
Generation 976 | Mean fitness (Test): -34.99
Generation 992 | Mean fitness (Test): -36.92
Generation 1008 | Mean fitness (Test): -10.49
Generation 1024 | Mean fitness (Test): -9.73
Generation 1040 | Mean fitness (Test): -12.54
Generation 1056 | Mean fitness (Test): -12.23
Generation 1072 | Mean fitness (Test): -7.28
Generation 1088 | Mean fitness (Test): -12.41
Generation 1104 | Mean fitness (Test): -11.36
Generation 1120 | Mean fitness (Test): -8.35
Generation 1136 | Mean fitness (Test): -29.31
Generation 1152 | Mean fitness (Test): -37.14
Generation 1168 | Mean fitness (Test): -16.00
Generation 1184 | Mean fitness (Test): -22.30
Generation 1200 | Mean fitness (Test): -7.06
Generation 1216 | Mean fitness (Test): -22.51
Generation 1232 | Mean fitness (Test): -22.68
Generation 1248 | Mean fitness (Test): -23.63
Generation 1264 | Mean fitness (Test): -12.81
Generation 1280 | Mean fitness (Test): -16.41
Generation 1296 | Mean fitness (Test): -23.60
Generation 1312 | Mean fitness (Test): -7.21
Generation 1328 | Mean fitness (Test): -8.24
Generation 1344 | Mean fitness (Test): -13.48
Generation 1360 | Mean fitness (Test): -18.92
Generation 1376 | Mean fitness (Test): -18.01
Generation 1392 | Mean fitness (Test): -12.42
Generation 1408 | Mean fitness (Test): -31.06
Generation 1424 | Mean fitness (Test): -15.21
Generation 1440 | Mean fitness (Test): -10.30
Generation 1456 | Mean fitness (Test): -11.71
Generation 1472 | Mean fitness (Test): -16.08
Generation 1488 | Mean fitness (Test): -15.64
Generation 1504 | Mean fitness (Test): -31.50
Generation 1520 | Mean fitness (Test): -18.23
Generation 1536 | Mean fitness (Test): -17.23
Generation 1552 | Mean fitness (Test): -20.00
Generation 1568 | Mean fitness (Test): -9.42
Generation 1584 | Mean fitness (Test): -12.95
Generation 1600 | Mean fitness (Test): -8.80
Generation 1616 | Mean fitness (Test): -13.91
Generation 1632 | Mean fitness (Test): -10.77
Generation 1648 | Mean fitness (Test): -11.51
Generation 1664 | Mean fitness (Test): -6.32
Generation 1680 | Mean fitness (Test): -12.38
Generation 1696 | Mean fitness (Test): -10.63
Generation 1712 | Mean fitness (Test): -12.66
Generation 1728 | Mean fitness (Test): -28.83
Generation 1744 | Mean fitness (Test): -15.67
Generation 1760 | Mean fitness (Test): -9.83
Generation 1776 | Mean fitness (Test): -12.64
Generation 1792 | Mean fitness (Test): -24.51
Generation 1808 | Mean fitness (Test): -13.23
Generation 1824 | Mean fitness (Test): -33.51
Generation 1840 | Mean fitness (Test): -15.37
Generation 1856 | Mean fitness (Test): -11.08
Generation 1872 | Mean fitness (Test): -6.71
Generation 1888 | Mean fitness (Test): -14.12
Generation 1904 | Mean fitness (Test): -13.79
Generation 1920 | Mean fitness (Test): -40.53
Generation 1936 | Mean fitness (Test): -31.82
Generation 1952 | Mean fitness (Test): -11.71
Generation 1968 | Mean fitness (Test): -9.78
Generation 1984 | Mean fitness (Test): -8.63
Generation 2000 | Mean fitness (Test): -16.18
running the experiment ... [../../results/BraxProblem/ant/PGPE/1]
Generation 016 | Mean fitness (Test): -7.86
Generation 032 | Mean fitness (Test): -28.65
Generation 048 | Mean fitness (Test): 5.56
Generation 064 | Mean fitness (Test): -8.54
Generation 080 | Mean fitness (Test): -18.15
Generation 096 | Mean fitness (Test): -6.91
Generation 112 | Mean fitness (Test): -28.17
Generation 128 | Mean fitness (Test): -30.35
Generation 144 | Mean fitness (Test): -32.02
Generation 160 | Mean fitness (Test): -9.20
Generation 176 | Mean fitness (Test): -16.84
Generation 192 | Mean fitness (Test): -59.10
Generation 208 | Mean fitness (Test): -32.94
Generation 224 | Mean fitness (Test): -20.51
Generation 240 | Mean fitness (Test): -7.66
Generation 256 | Mean fitness (Test): -18.67
Generation 272 | Mean fitness (Test): -18.36
Generation 288 | Mean fitness (Test): -44.23
Generation 304 | Mean fitness (Test): -16.00
Generation 320 | Mean fitness (Test): -20.89
Generation 336 | Mean fitness (Test): -31.22
Generation 352 | Mean fitness (Test): -32.64
Generation 368 | Mean fitness (Test): -13.45
Generation 384 | Mean fitness (Test): -11.11
Generation 400 | Mean fitness (Test): -30.88
