Sat 18 Oct 2025 23:21:36 IDT

SLURM_JOBID:		 7559341
SLURM_JOB_NODELIST:	 ise-cpu256-18 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1018 23:21:56.701932  187265 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

there is experiment results. [../../results/BraxProblem/ant/PGPE/0]
there is experiment results. [../../results/BraxProblem/ant/PGPE/1]
running the experiment ... [../../results/BraxProblem/ant/PGPE/2]
Generation 016 | Mean fitness (Test): 42.32
Generation 032 | Mean fitness (Test): -59.36
Generation 048 | Mean fitness (Test): -9.69
Generation 064 | Mean fitness (Test): -3.60
Generation 080 | Mean fitness (Test): -6.59
Generation 096 | Mean fitness (Test): -21.03
Generation 112 | Mean fitness (Test): -17.58
Generation 128 | Mean fitness (Test): 14.07
Generation 144 | Mean fitness (Test): -4.76
Generation 160 | Mean fitness (Test): -68.42
Generation 176 | Mean fitness (Test): -13.19
Generation 192 | Mean fitness (Test): 0.36
Generation 208 | Mean fitness (Test): 6.87
Generation 224 | Mean fitness (Test): -13.85
Generation 240 | Mean fitness (Test): -16.30
Generation 256 | Mean fitness (Test): -9.77
Generation 272 | Mean fitness (Test): -20.00
Generation 288 | Mean fitness (Test): -35.33
Generation 304 | Mean fitness (Test): -6.26
Generation 320 | Mean fitness (Test): -13.30
Generation 336 | Mean fitness (Test): -6.46
Generation 352 | Mean fitness (Test): -38.78
Generation 368 | Mean fitness (Test): -43.71
Generation 384 | Mean fitness (Test): -29.80
Generation 400 | Mean fitness (Test): -15.26
Generation 416 | Mean fitness (Test): -11.03
Generation 432 | Mean fitness (Test): -256.50
Generation 448 | Mean fitness (Test): -34.35
Generation 464 | Mean fitness (Test): -38.04
Generation 480 | Mean fitness (Test): -21.22
Generation 496 | Mean fitness (Test): -8.48
Generation 512 | Mean fitness (Test): -21.70
Generation 528 | Mean fitness (Test): -14.46
Generation 544 | Mean fitness (Test): -7.86
Generation 560 | Mean fitness (Test): -11.19
Generation 576 | Mean fitness (Test): -8.68
Generation 592 | Mean fitness (Test): -8.33
Generation 608 | Mean fitness (Test): -13.66
Generation 624 | Mean fitness (Test): -7.57
Generation 640 | Mean fitness (Test): -7.97
Generation 656 | Mean fitness (Test): -8.55
Generation 672 | Mean fitness (Test): -13.07
Generation 688 | Mean fitness (Test): -8.36
Generation 704 | Mean fitness (Test): -15.15
Generation 720 | Mean fitness (Test): -7.93
Generation 736 | Mean fitness (Test): -17.25
Generation 752 | Mean fitness (Test): -12.07
Generation 768 | Mean fitness (Test): -8.26
Generation 784 | Mean fitness (Test): -34.24
Generation 800 | Mean fitness (Test): -43.02
Generation 816 | Mean fitness (Test): -8.75
Generation 832 | Mean fitness (Test): -14.29
Generation 848 | Mean fitness (Test): -12.02
Generation 864 | Mean fitness (Test): -14.60
Generation 880 | Mean fitness (Test): -66.75
Generation 896 | Mean fitness (Test): -13.21
Generation 912 | Mean fitness (Test): -12.06
Generation 928 | Mean fitness (Test): -12.87
Generation 944 | Mean fitness (Test): -14.42
Generation 960 | Mean fitness (Test): -12.67
Generation 976 | Mean fitness (Test): -7.74
Generation 992 | Mean fitness (Test): -29.38
Generation 1008 | Mean fitness (Test): -26.57
Generation 1024 | Mean fitness (Test): -14.71
Generation 1040 | Mean fitness (Test): -9.12
Generation 1056 | Mean fitness (Test): -33.41
Generation 1072 | Mean fitness (Test): -17.12
Generation 1088 | Mean fitness (Test): -33.16
Generation 1104 | Mean fitness (Test): -11.06
Generation 1120 | Mean fitness (Test): -17.79
Generation 1136 | Mean fitness (Test): -10.98
Generation 1152 | Mean fitness (Test): -31.35
Generation 1168 | Mean fitness (Test): -33.74
Generation 1184 | Mean fitness (Test): -13.09
Generation 1200 | Mean fitness (Test): -43.46
Generation 1216 | Mean fitness (Test): -43.35
Generation 1232 | Mean fitness (Test): -9.16
Generation 1248 | Mean fitness (Test): -12.28
Generation 1264 | Mean fitness (Test): -10.07
Generation 1280 | Mean fitness (Test): -13.78
