Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 010 | Best fitness (Train): -2.12 | Best fitness in generation (Train): -8.19 | Mean fitness (Train): -51.51 | Mean fitness (Test): 7.27
Generation 020 | Best fitness (Train): -2.12 | Best fitness in generation (Train): -8.53 | Mean fitness (Train): -60.59 | Mean fitness (Test): -10.66
Generation 030 | Best fitness (Train): -2.12 | Best fitness in generation (Train): -7.72 | Mean fitness (Train): -55.79 | Mean fitness (Test): -6.66
Generation 040 | Best fitness (Train): 0.57 | Best fitness in generation (Train): -7.50 | Mean fitness (Train): -49.62 | Mean fitness (Test): -6.70
Generation 050 | Best fitness (Train): 0.57 | Best fitness in generation (Train): -5.58 | Mean fitness (Train): -45.81 | Mean fitness (Test): 3.96
Generation 060 | Best fitness (Train): 0.57 | Best fitness in generation (Train): -6.55 | Mean fitness (Train): -50.95 | Mean fitness (Test): 9.03
Generation 070 | Best fitness (Train): 0.57 | Best fitness in generation (Train): -9.77 | Mean fitness (Train): -51.56 | Mean fitness (Test): -40.16
Generation 080 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -3.63 | Mean fitness (Train): -50.40 | Mean fitness (Test): 8.59
Generation 090 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -9.75 | Mean fitness (Train): -54.50 | Mean fitness (Test): 10.74
Generation 100 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.99 | Mean fitness (Train): -56.85 | Mean fitness (Test): -11.48
Generation 110 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.89 | Mean fitness (Train): -52.58 | Mean fitness (Test): -2.42
Generation 120 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.40 | Mean fitness (Train): -46.47 | Mean fitness (Test): 2.96
Generation 130 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.75 | Mean fitness (Train): -50.88 | Mean fitness (Test): 0.60
Generation 140 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.35 | Mean fitness (Train): -51.75 | Mean fitness (Test): 17.04
Generation 150 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.45 | Mean fitness (Train): -50.07 | Mean fitness (Test): -11.99
Generation 160 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.24 | Mean fitness (Train): -47.91 | Mean fitness (Test): -21.02
Generation 170 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -51.34 | Mean fitness (Test): -12.97
Generation 180 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.57 | Mean fitness (Train): -54.68 | Mean fitness (Test): -4.75
Generation 190 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.38 | Mean fitness (Train): -51.92 | Mean fitness (Test): -4.88
Generation 200 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.22 | Mean fitness (Train): -45.07 | Mean fitness (Test): -11.15
Generation 210 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.99 | Mean fitness (Train): -46.85 | Mean fitness (Test): -26.08
Generation 220 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.07 | Mean fitness (Train): -60.20 | Mean fitness (Test): -18.16
Generation 230 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.50 | Mean fitness (Train): -53.21 | Mean fitness (Test): -18.14
Generation 240 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.75 | Mean fitness (Train): -50.76 | Mean fitness (Test): -17.64
Generation 250 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.75 | Mean fitness (Train): -50.27 | Mean fitness (Test): -7.39
Generation 260 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.93 | Mean fitness (Train): -56.21 | Mean fitness (Test): -4.13
Generation 270 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.29 | Mean fitness (Train): -49.58 | Mean fitness (Test): -10.03
Generation 280 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -0.14 | Mean fitness (Train): -48.92 | Mean fitness (Test): -10.51
Generation 290 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.01 | Mean fitness (Train): -51.75 | Mean fitness (Test): -23.80
Generation 300 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.05 | Mean fitness (Train): -43.63 | Mean fitness (Test): -97.82
Generation 310 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -10.49 | Mean fitness (Train): -53.18 | Mean fitness (Test): -34.12
Generation 320 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.45 | Mean fitness (Train): -49.47 | Mean fitness (Test): -89.69
Generation 330 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.74 | Mean fitness (Train): -55.39 | Mean fitness (Test): -29.60
Generation 340 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.77 | Mean fitness (Train): -51.91 | Mean fitness (Test): -49.40
Generation 350 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.96 | Mean fitness (Train): -51.13 | Mean fitness (Test): -28.87
Generation 360 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.77 | Mean fitness (Train): -53.97 | Mean fitness (Test): -51.50
Generation 370 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.84 | Mean fitness (Train): -45.54 | Mean fitness (Test): -19.19
Generation 380 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.57 | Mean fitness (Train): -51.25 | Mean fitness (Test): -17.39
Generation 390 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.70 | Mean fitness (Train): -55.38 | Mean fitness (Test): -12.51
Generation 400 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.11 | Mean fitness (Train): -49.91 | Mean fitness (Test): -19.40
Generation 410 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.58 | Mean fitness (Train): -53.41 | Mean fitness (Test): -13.92
Generation 420 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.32 | Mean fitness (Train): -39.85 | Mean fitness (Test): -14.44
Generation 430 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -9.98 | Mean fitness (Train): -59.79 | Mean fitness (Test): -28.82
Generation 440 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.54 | Mean fitness (Train): -43.95 | Mean fitness (Test): -42.29
Generation 450 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.18 | Mean fitness (Train): -57.61 | Mean fitness (Test): -17.38
Generation 460 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.12 | Mean fitness (Train): -53.68 | Mean fitness (Test): -92.38
Generation 470 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -6.70 | Mean fitness (Train): -46.64 | Mean fitness (Test): -6.51
Generation 480 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.88 | Mean fitness (Train): -39.58 | Mean fitness (Test): -3.79
Generation 490 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -8.43 | Mean fitness (Train): -46.99 | Mean fitness (Test): -9.88
Generation 500 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.18 | Mean fitness (Train): -47.30 | Mean fitness (Test): -46.75
Generation 510 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -10.30 | Mean fitness (Train): -57.99 | Mean fitness (Test): -109.65
Generation 520 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.37 | Mean fitness (Train): -52.99 | Mean fitness (Test): -87.15
Generation 530 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.50 | Mean fitness (Train): -37.75 | Mean fitness (Test): -4.43
Generation 540 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.94 | Mean fitness (Train): -58.67 | Mean fitness (Test): -5.72
Generation 550 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -3.91 | Mean fitness (Train): -39.18 | Mean fitness (Test): -4.52
Generation 560 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -7.52 | Mean fitness (Train): -46.39 | Mean fitness (Test): -43.37
Generation 570 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -4.75 | Mean fitness (Train): -44.39 | Mean fitness (Test): -15.66
Generation 580 | Best fitness (Train): 18.18 | Best fitness in generation (Train): -5.99 | Mean fitness (Train): -45.98 | Mean fitness (Test): -14.71
