Tue 11 Nov 2025 15:20:35 IST

SLURM_JOBID:		 8108720
SLURM_JOB_NODELIST:	 ise-3090-01 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:20:59.627562 3955729 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 010 | Best fitness (Train): 80.54 | Best fitness in generation (Train): 69.00 | Mean fitness (Train): 27.62 | Mean fitness (Test): 60.51
Generation 020 | Best fitness (Train): 99.09 | Best fitness in generation (Train): 95.31 | Mean fitness (Train): 34.85 | Mean fitness (Test): 161.85
Generation 030 | Best fitness (Train): 184.33 | Best fitness in generation (Train): 149.25 | Mean fitness (Train): 48.82 | Mean fitness (Test): 213.77
Generation 040 | Best fitness (Train): 391.89 | Best fitness in generation (Train): 295.77 | Mean fitness (Train): 84.41 | Mean fitness (Test): 295.03
Generation 050 | Best fitness (Train): 532.38 | Best fitness in generation (Train): 532.38 | Mean fitness (Train): 124.65 | Mean fitness (Test): 642.83
Generation 060 | Best fitness (Train): 657.05 | Best fitness in generation (Train): 488.71 | Mean fitness (Train): 178.80 | Mean fitness (Test): 642.58
Generation 070 | Best fitness (Train): 668.29 | Best fitness in generation (Train): 629.42 | Mean fitness (Train): 233.91 | Mean fitness (Test): 836.03
Generation 080 | Best fitness (Train): 780.83 | Best fitness in generation (Train): 698.96 | Mean fitness (Train): 275.34 | Mean fitness (Test): 838.14
Generation 090 | Best fitness (Train): 878.44 | Best fitness in generation (Train): 783.13 | Mean fitness (Train): 354.72 | Mean fitness (Test): 798.86
Generation 100 | Best fitness (Train): 878.44 | Best fitness in generation (Train): 838.92 | Mean fitness (Train): 411.67 | Mean fitness (Test): 835.77
Generation 110 | Best fitness (Train): 1061.02 | Best fitness in generation (Train): 1018.58 | Mean fitness (Train): 454.18 | Mean fitness (Test): 1033.70
Generation 120 | Best fitness (Train): 1061.02 | Best fitness in generation (Train): 854.26 | Mean fitness (Train): 449.28 | Mean fitness (Test): 992.99
Generation 130 | Best fitness (Train): 1073.60 | Best fitness in generation (Train): 1029.37 | Mean fitness (Train): 494.17 | Mean fitness (Test): 899.27
Generation 140 | Best fitness (Train): 1217.25 | Best fitness in generation (Train): 1031.75 | Mean fitness (Train): 548.12 | Mean fitness (Test): 1086.34
Generation 150 | Best fitness (Train): 1217.25 | Best fitness in generation (Train): 1067.01 | Mean fitness (Train): 593.59 | Mean fitness (Test): 1124.69
Generation 160 | Best fitness (Train): 1251.89 | Best fitness in generation (Train): 1079.98 | Mean fitness (Train): 599.22 | Mean fitness (Test): 1146.55
Generation 170 | Best fitness (Train): 1389.41 | Best fitness in generation (Train): 1145.64 | Mean fitness (Train): 653.49 | Mean fitness (Test): 1156.29
Generation 180 | Best fitness (Train): 1423.54 | Best fitness in generation (Train): 1268.61 | Mean fitness (Train): 663.54 | Mean fitness (Test): 1249.19
Generation 190 | Best fitness (Train): 1423.54 | Best fitness in generation (Train): 1383.66 | Mean fitness (Train): 727.17 | Mean fitness (Test): 1336.02
Generation 200 | Best fitness (Train): 1423.54 | Best fitness in generation (Train): 1273.41 | Mean fitness (Train): 714.33 | Mean fitness (Test): 1366.17
Generation 210 | Best fitness (Train): 1478.15 | Best fitness in generation (Train): 1351.87 | Mean fitness (Train): 786.77 | Mean fitness (Test): 1571.70
Generation 220 | Best fitness (Train): 1522.56 | Best fitness in generation (Train): 1293.77 | Mean fitness (Train): 779.39 | Mean fitness (Test): 1646.87
Generation 230 | Best fitness (Train): 1522.56 | Best fitness in generation (Train): 1347.28 | Mean fitness (Train): 841.06 | Mean fitness (Test): 1692.56
