Sat 18 Oct 2025 23:23:16 IDT

SLURM_JOBID:		 7559344
SLURM_JOB_NODELIST:	 ise-cpu256-24 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1018 23:23:38.304810 3848675 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 016 | Mean fitness (Test): -27.40
Generation 032 | Mean fitness (Test): -46.13
Generation 048 | Mean fitness (Test): -70.78
Generation 064 | Mean fitness (Test): -62.15
Generation 080 | Mean fitness (Test): -10.83
Generation 096 | Mean fitness (Test): -17.11
Generation 112 | Mean fitness (Test): -17.55
Generation 128 | Mean fitness (Test): -29.12
Generation 144 | Mean fitness (Test): -8.15
Generation 160 | Mean fitness (Test): -10.30
Generation 176 | Mean fitness (Test): -18.69
Generation 192 | Mean fitness (Test): -9.31
Generation 208 | Mean fitness (Test): -10.16
Generation 224 | Mean fitness (Test): -9.45
Generation 240 | Mean fitness (Test): -8.70
Generation 256 | Mean fitness (Test): -20.46
Generation 272 | Mean fitness (Test): -15.18
Generation 288 | Mean fitness (Test): -12.58
Generation 304 | Mean fitness (Test): -42.19
Generation 320 | Mean fitness (Test): -64.21
Generation 336 | Mean fitness (Test): -10.41
Generation 352 | Mean fitness (Test): -68.19
Generation 368 | Mean fitness (Test): -8.65
Generation 384 | Mean fitness (Test): -24.22
Generation 400 | Mean fitness (Test): -21.81
Generation 416 | Mean fitness (Test): -6.77
Generation 432 | Mean fitness (Test): -4.86
Generation 448 | Mean fitness (Test): -14.75
Generation 464 | Mean fitness (Test): -6.57
Generation 480 | Mean fitness (Test): -181.85
Generation 496 | Mean fitness (Test): -16.02
Generation 512 | Mean fitness (Test): -14.43
Generation 528 | Mean fitness (Test): -10.91
Generation 544 | Mean fitness (Test): -9.45
Generation 560 | Mean fitness (Test): -9.19
Generation 576 | Mean fitness (Test): -7.11
Generation 592 | Mean fitness (Test): -72.65
Generation 608 | Mean fitness (Test): -8.22
Generation 624 | Mean fitness (Test): -10.80
Generation 640 | Mean fitness (Test): -8.81
Generation 656 | Mean fitness (Test): -6.62
Generation 672 | Mean fitness (Test): -10.18
Generation 688 | Mean fitness (Test): -17.26
Generation 704 | Mean fitness (Test): -10.51
Generation 720 | Mean fitness (Test): -7.60
Generation 736 | Mean fitness (Test): -13.63
Generation 752 | Mean fitness (Test): -11.56
Generation 768 | Mean fitness (Test): -16.78
Generation 784 | Mean fitness (Test): -6.72
Generation 800 | Mean fitness (Test): -5.12
Generation 816 | Mean fitness (Test): -10.04
Generation 832 | Mean fitness (Test): -60.43
Generation 848 | Mean fitness (Test): -5.34
Generation 864 | Mean fitness (Test): -42.76
Generation 880 | Mean fitness (Test): -28.45
Generation 896 | Mean fitness (Test): -6.54
Generation 912 | Mean fitness (Test): -5.89
Generation 928 | Mean fitness (Test): -13.26
Generation 944 | Mean fitness (Test): -45.73
Generation 960 | Mean fitness (Test): -6.98
Generation 976 | Mean fitness (Test): -20.43
Generation 992 | Mean fitness (Test): -5.95
Generation 1008 | Mean fitness (Test): -11.06
Generation 1024 | Mean fitness (Test): -54.59
Generation 1040 | Mean fitness (Test): -4.84
Generation 1056 | Mean fitness (Test): -9.99
Generation 1072 | Mean fitness (Test): -5.30
Generation 1088 | Mean fitness (Test): -10.94
Generation 1104 | Mean fitness (Test): -13.16
Generation 1120 | Mean fitness (Test): -5.23
Generation 1136 | Mean fitness (Test): -12.95
Generation 1152 | Mean fitness (Test): -7.21
Generation 1168 | Mean fitness (Test): -8.10
Generation 1184 | Mean fitness (Test): -227.01
Generation 1200 | Mean fitness (Test): -5.35
Generation 1216 | Mean fitness (Test): -11.56
Generation 1232 | Mean fitness (Test): -8.23
Generation 1248 | Mean fitness (Test): -6.70
Generation 1264 | Mean fitness (Test): -14.24
Generation 1280 | Mean fitness (Test): -29.33
Generation 1296 | Mean fitness (Test): -5.90
Generation 1312 | Mean fitness (Test): -8.06
Generation 1328 | Mean fitness (Test): -12.29
Generation 1344 | Mean fitness (Test): -12.36
Generation 1360 | Mean fitness (Test): -6.09
Generation 1376 | Mean fitness (Test): -6.14
Generation 1392 | Mean fitness (Test): -7.66
Generation 1408 | Mean fitness (Test): -55.82
Generation 1424 | Mean fitness (Test): -13.79
Generation 1440 | Mean fitness (Test): -5.30
Generation 1456 | Mean fitness (Test): -12.17
Generation 1472 | Mean fitness (Test): -15.12
Generation 1488 | Mean fitness (Test): -6.93
Generation 1504 | Mean fitness (Test): -7.47
Generation 1520 | Mean fitness (Test): -12.18
Generation 1536 | Mean fitness (Test): -15.43
Generation 1552 | Mean fitness (Test): -23.44
Generation 1568 | Mean fitness (Test): -5.69
Generation 1584 | Mean fitness (Test): -6.43
Generation 1600 | Mean fitness (Test): -6.30
Generation 1616 | Mean fitness (Test): -8.53
Generation 1632 | Mean fitness (Test): -9.65
Generation 1648 | Mean fitness (Test): -9.29
Generation 1664 | Mean fitness (Test): -4.84
Generation 1680 | Mean fitness (Test): -7.98
Generation 1696 | Mean fitness (Test): -8.47
Generation 1712 | Mean fitness (Test): -9.94
Generation 1728 | Mean fitness (Test): -4.34
Generation 1744 | Mean fitness (Test): -14.37
Generation 1760 | Mean fitness (Test): -8.97
Generation 1776 | Mean fitness (Test): -12.84
Generation 1792 | Mean fitness (Test): -10.84
Generation 1808 | Mean fitness (Test): -9.68
Generation 1824 | Mean fitness (Test): -6.32
Generation 1840 | Mean fitness (Test): -8.95
Generation 1856 | Mean fitness (Test): -10.34
Generation 1872 | Mean fitness (Test): -5.43
Generation 1888 | Mean fitness (Test): -13.32
Generation 1904 | Mean fitness (Test): -47.71
Generation 1920 | Mean fitness (Test): -4.59
Generation 1936 | Mean fitness (Test): -5.84
Generation 1952 | Mean fitness (Test): -10.19
Generation 1968 | Mean fitness (Test): -9.24
Generation 1984 | Mean fitness (Test): -9.43
Generation 2000 | Mean fitness (Test): -5.87
running the experiment ... [../../results/BraxProblem/ant/SNES/1]
Generation 016 | Mean fitness (Test): -27.58
Generation 032 | Mean fitness (Test): -94.02
Generation 048 | Mean fitness (Test): -44.36
Generation 064 | Mean fitness (Test): -183.94
Generation 080 | Mean fitness (Test): -39.40
Generation 096 | Mean fitness (Test): -11.55
Generation 112 | Mean fitness (Test): -12.62
Generation 128 | Mean fitness (Test): -19.85
Generation 144 | Mean fitness (Test): -14.85
Generation 160 | Mean fitness (Test): -6.46
Generation 176 | Mean fitness (Test): -12.23
Generation 192 | Mean fitness (Test): -13.73
Generation 208 | Mean fitness (Test): -10.20
Generation 224 | Mean fitness (Test): -12.75
Generation 240 | Mean fitness (Test): -41.54
Generation 256 | Mean fitness (Test): -32.63
Generation 272 | Mean fitness (Test): -30.85
Generation 288 | Mean fitness (Test): -68.90
Generation 304 | Mean fitness (Test): -7.43
Generation 320 | Mean fitness (Test): -11.82
Generation 336 | Mean fitness (Test): -5.87
Generation 352 | Mean fitness (Test): -16.82
Generation 368 | Mean fitness (Test): -30.86
Generation 384 | Mean fitness (Test): -12.34
Generation 400 | Mean fitness (Test): -47.87
Generation 416 | Mean fitness (Test): -14.38
Generation 432 | Mean fitness (Test): -10.47
Generation 448 | Mean fitness (Test): -6.77
Generation 464 | Mean fitness (Test): -11.56
Generation 480 | Mean fitness (Test): -13.48
Generation 496 | Mean fitness (Test): -7.05
Generation 512 | Mean fitness (Test): -14.29
Generation 528 | Mean fitness (Test): -10.76
Generation 544 | Mean fitness (Test): -14.11
Generation 560 | Mean fitness (Test): -12.15
Generation 576 | Mean fitness (Test): -7.94
Generation 592 | Mean fitness (Test): -15.26
Generation 608 | Mean fitness (Test): -6.14
Generation 624 | Mean fitness (Test): -20.51
Generation 640 | Mean fitness (Test): -8.30
Generation 656 | Mean fitness (Test): -33.08
Generation 672 | Mean fitness (Test): -10.70
Generation 688 | Mean fitness (Test): -12.95
Generation 704 | Mean fitness (Test): -70.88
Generation 720 | Mean fitness (Test): -6.40
Generation 736 | Mean fitness (Test): -8.85
Generation 752 | Mean fitness (Test): -15.40
Generation 768 | Mean fitness (Test): -11.51
Generation 784 | Mean fitness (Test): -38.60
Generation 800 | Mean fitness (Test): -8.19
Generation 816 | Mean fitness (Test): -6.75
Generation 832 | Mean fitness (Test): -11.27
Generation 848 | Mean fitness (Test): -12.82
Generation 864 | Mean fitness (Test): -7.25
Generation 880 | Mean fitness (Test): -5.92
Generation 896 | Mean fitness (Test): -8.39
Generation 912 | Mean fitness (Test): -10.57
Generation 928 | Mean fitness (Test): -11.12
Generation 944 | Mean fitness (Test): -9.30
Generation 960 | Mean fitness (Test): -5.43
Generation 976 | Mean fitness (Test): -31.33
Generation 992 | Mean fitness (Test): -5.85
Generation 1008 | Mean fitness (Test): -37.97
Generation 1024 | Mean fitness (Test): -10.31
Generation 1040 | Mean fitness (Test): -5.59
Generation 1056 | Mean fitness (Test): -12.05
Generation 1072 | Mean fitness (Test): -129.97
Generation 1088 | Mean fitness (Test): -8.30
Generation 1104 | Mean fitness (Test): -32.92
Generation 1120 | Mean fitness (Test): -12.67
Generation 1136 | Mean fitness (Test): -9.29
Generation 1152 | Mean fitness (Test): -12.87
Generation 1168 | Mean fitness (Test): -6.78
Generation 1184 | Mean fitness (Test): -13.68
Generation 1200 | Mean fitness (Test): -98.94
Generation 1216 | Mean fitness (Test): -5.61
Generation 1232 | Mean fitness (Test): -6.29
Generation 1248 | Mean fitness (Test): -10.65
Generation 1264 | Mean fitness (Test): -9.02
Generation 1280 | Mean fitness (Test): -14.81
Generation 1296 | Mean fitness (Test): -10.36
Generation 1312 | Mean fitness (Test): -6.08
Generation 1328 | Mean fitness (Test): -12.07
Generation 1344 | Mean fitness (Test): -8.61
Generation 1360 | Mean fitness (Test): -7.37
