Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 010 | Best fitness (Train): -4.37 | Best fitness in generation (Train): -6.06 | Mean fitness (Train): -48.22 | Mean fitness (Test): -42.24
Generation 020 | Best fitness (Train): -4.37 | Best fitness in generation (Train): -8.51 | Mean fitness (Train): -58.82 | Mean fitness (Test): -69.38
Generation 030 | Best fitness (Train): -4.00 | Best fitness in generation (Train): -9.08 | Mean fitness (Train): -53.60 | Mean fitness (Test): -107.45
Generation 040 | Best fitness (Train): -4.00 | Best fitness in generation (Train): -4.24 | Mean fitness (Train): -50.68 | Mean fitness (Test): -48.68
Generation 050 | Best fitness (Train): -4.00 | Best fitness in generation (Train): -6.35 | Mean fitness (Train): -41.88 | Mean fitness (Test): -7.55
Generation 060 | Best fitness (Train): -3.93 | Best fitness in generation (Train): -7.77 | Mean fitness (Train): -51.41 | Mean fitness (Test): -17.15
Generation 070 | Best fitness (Train): -3.93 | Best fitness in generation (Train): -6.73 | Mean fitness (Train): -54.07 | Mean fitness (Test): -13.32
Generation 080 | Best fitness (Train): -3.93 | Best fitness in generation (Train): -7.28 | Mean fitness (Train): -48.30 | Mean fitness (Test): -59.93
Generation 090 | Best fitness (Train): -2.66 | Best fitness in generation (Train): -8.55 | Mean fitness (Train): -58.21 | Mean fitness (Test): -26.77
Generation 100 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.72 | Mean fitness (Train): -46.91 | Mean fitness (Test): -80.41
Generation 110 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.14 | Mean fitness (Train): -46.52 | Mean fitness (Test): -17.36
Generation 120 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.24 | Mean fitness (Train): -17.21 | Mean fitness (Test): -8.13
Generation 130 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.37 | Mean fitness (Train): -44.23 | Mean fitness (Test): -50.79
Generation 140 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.55 | Mean fitness (Train): -24.19 | Mean fitness (Test): -21.36
Generation 150 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.46 | Mean fitness (Train): -23.75 | Mean fitness (Test): -12.24
Generation 160 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.41 | Mean fitness (Train): -41.53 | Mean fitness (Test): -23.85
Generation 170 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -3.71 | Mean fitness (Train): -13.00 | Mean fitness (Test): -9.46
Generation 180 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.48 | Mean fitness (Train): -25.19 | Mean fitness (Test): -24.99
Generation 190 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.62 | Mean fitness (Train): -21.81 | Mean fitness (Test): -15.60
Generation 200 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.31 | Mean fitness (Train): -23.08 | Mean fitness (Test): -16.48
Generation 210 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.79 | Mean fitness (Train): -15.89 | Mean fitness (Test): -6.57
Generation 220 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -7.95 | Mean fitness (Train): -26.76 | Mean fitness (Test): -11.23
Generation 230 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -3.13 | Mean fitness (Train): -29.73 | Mean fitness (Test): -76.39
Generation 240 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -7.06 | Mean fitness (Train): -27.72 | Mean fitness (Test): -11.90
Generation 250 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.37 | Mean fitness (Train): -26.20 | Mean fitness (Test): -30.85
Generation 260 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -3.53 | Mean fitness (Train): -34.18 | Mean fitness (Test): -10.16
Generation 270 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.05 | Mean fitness (Train): -20.06 | Mean fitness (Test): -12.11
Generation 280 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.34 | Mean fitness (Train): -27.19 | Mean fitness (Test): -9.60
Generation 290 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.52 | Mean fitness (Train): -26.02 | Mean fitness (Test): -10.00
Generation 300 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -4.41 | Mean fitness (Train): -19.95 | Mean fitness (Test): -9.77
Generation 310 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -10.42 | Mean fitness (Train): -25.69 | Mean fitness (Test): -12.00
Generation 320 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.40 | Mean fitness (Train): -16.27 | Mean fitness (Test): -10.59
Generation 330 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -3.92 | Mean fitness (Train): -26.65 | Mean fitness (Test): -8.09
Generation 340 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -6.49 | Mean fitness (Train): -28.80 | Mean fitness (Test): -12.58
Generation 350 | Best fitness (Train): 1.78 | Best fitness in generation (Train): -5.31 | Mean fitness (Train): -15.99 | Mean fitness (Test): -11.17
