Tue 11 Nov 2025 15:30:37 IST

SLURM_JOBID:		 8108724
SLURM_JOB_NODELIST:	 ise-3090-04 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:31:13.407072 1263379 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 010 | Best fitness (Train): 67.75 | Best fitness in generation (Train): 60.38 | Mean fitness (Train): 25.17 | Mean fitness (Test): 79.30
Generation 020 | Best fitness (Train): 120.55 | Best fitness in generation (Train): 113.14 | Mean fitness (Train): 32.97 | Mean fitness (Test): 186.57
Generation 030 | Best fitness (Train): 182.04 | Best fitness in generation (Train): 130.02 | Mean fitness (Train): 41.52 | Mean fitness (Test): 392.61
Generation 040 | Best fitness (Train): 502.29 | Best fitness in generation (Train): 362.59 | Mean fitness (Train): 63.76 | Mean fitness (Test): 516.85
Generation 050 | Best fitness (Train): 543.43 | Best fitness in generation (Train): 401.61 | Mean fitness (Train): 76.95 | Mean fitness (Test): 521.34
Generation 060 | Best fitness (Train): 894.08 | Best fitness in generation (Train): 528.11 | Mean fitness (Train): 105.75 | Mean fitness (Test): 519.99
Generation 070 | Best fitness (Train): 894.08 | Best fitness in generation (Train): 841.81 | Mean fitness (Train): 154.08 | Mean fitness (Test): 735.13
Generation 080 | Best fitness (Train): 1072.26 | Best fitness in generation (Train): 853.10 | Mean fitness (Train): 190.36 | Mean fitness (Test): 773.04
Generation 090 | Best fitness (Train): 1072.26 | Best fitness in generation (Train): 873.33 | Mean fitness (Train): 231.74 | Mean fitness (Test): 973.35
Generation 100 | Best fitness (Train): 1169.32 | Best fitness in generation (Train): 1166.71 | Mean fitness (Train): 261.57 | Mean fitness (Test): 1095.26
Generation 110 | Best fitness (Train): 1205.17 | Best fitness in generation (Train): 1049.19 | Mean fitness (Train): 293.40 | Mean fitness (Test): 1206.97
Generation 120 | Best fitness (Train): 1276.58 | Best fitness in generation (Train): 975.69 | Mean fitness (Train): 326.07 | Mean fitness (Test): 1117.96
Generation 130 | Best fitness (Train): 1384.21 | Best fitness in generation (Train): 1171.82 | Mean fitness (Train): 405.29 | Mean fitness (Test): 1336.24
Generation 140 | Best fitness (Train): 1384.21 | Best fitness in generation (Train): 1275.96 | Mean fitness (Train): 459.76 | Mean fitness (Test): 1337.74
Generation 150 | Best fitness (Train): 1410.79 | Best fitness in generation (Train): 1333.73 | Mean fitness (Train): 443.86 | Mean fitness (Test): 1381.38
