Sat 18 Oct 2025 23:23:10 IDT

SLURM_JOBID:		 7559343
SLURM_JOB_NODELIST:	 ise-cpu256-13 

configuration parmas running: problem_type=brax es_algorithms=Sep_CMA_ES
Loading Problems ..:   0%|          | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1018 23:23:32.946498 4084414 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Sep_CMA_ES/0]
Generation 016 | Mean fitness (Test): -30.35
Generation 032 | Mean fitness (Test): -72.36
Generation 048 | Mean fitness (Test): -18.44
Generation 064 | Mean fitness (Test): -89.68
Generation 080 | Mean fitness (Test): -12.02
Generation 096 | Mean fitness (Test): -50.37
Generation 112 | Mean fitness (Test): -17.30
Generation 128 | Mean fitness (Test): -83.36
Generation 144 | Mean fitness (Test): -11.44
Generation 160 | Mean fitness (Test): -29.76
Generation 176 | Mean fitness (Test): -133.82
Generation 192 | Mean fitness (Test): -14.35
Generation 208 | Mean fitness (Test): -39.60
Generation 224 | Mean fitness (Test): -12.68
Generation 240 | Mean fitness (Test): -7.70
Generation 256 | Mean fitness (Test): -11.54
Generation 272 | Mean fitness (Test): -8.17
Generation 288 | Mean fitness (Test): -77.13
Generation 304 | Mean fitness (Test): -25.39
Generation 320 | Mean fitness (Test): -63.72
Generation 336 | Mean fitness (Test): -13.11
Generation 352 | Mean fitness (Test): -8.79
Generation 368 | Mean fitness (Test): -13.55
Generation 384 | Mean fitness (Test): -164.41
Generation 400 | Mean fitness (Test): -6.53
Generation 416 | Mean fitness (Test): -8.78
Generation 432 | Mean fitness (Test): -8.13
Generation 448 | Mean fitness (Test): -10.89
Generation 464 | Mean fitness (Test): -8.82
Generation 480 | Mean fitness (Test): -12.04
Generation 496 | Mean fitness (Test): -40.53
Generation 512 | Mean fitness (Test): -14.23
Generation 528 | Mean fitness (Test): -11.41
Generation 544 | Mean fitness (Test): -5.91
Generation 560 | Mean fitness (Test): -11.30
Generation 576 | Mean fitness (Test): -7.13
Generation 592 | Mean fitness (Test): -7.42
Generation 608 | Mean fitness (Test): -8.34
Generation 624 | Mean fitness (Test): -11.32
Generation 640 | Mean fitness (Test): -6.05
Generation 656 | Mean fitness (Test): -7.03
Generation 672 | Mean fitness (Test): -5.82
Generation 688 | Mean fitness (Test): -12.67
Generation 704 | Mean fitness (Test): -6.56
Generation 720 | Mean fitness (Test): -8.21
Generation 736 | Mean fitness (Test): -9.95
Generation 752 | Mean fitness (Test): -9.88
Generation 768 | Mean fitness (Test): -12.78
Generation 784 | Mean fitness (Test): -7.68
Generation 800 | Mean fitness (Test): -5.09
Generation 816 | Mean fitness (Test): -6.41
Generation 832 | Mean fitness (Test): -9.25
Generation 848 | Mean fitness (Test): -7.63
Generation 864 | Mean fitness (Test): -10.38
Generation 880 | Mean fitness (Test): -6.65
Generation 896 | Mean fitness (Test): -10.81
Generation 912 | Mean fitness (Test): -7.51
Generation 928 | Mean fitness (Test): -11.42
Generation 944 | Mean fitness (Test): -19.37
Generation 960 | Mean fitness (Test): -12.15
Generation 976 | Mean fitness (Test): -18.90
Generation 992 | Mean fitness (Test): -10.36
Generation 1008 | Mean fitness (Test): -8.68
Generation 1024 | Mean fitness (Test): -6.25
Generation 1040 | Mean fitness (Test): -6.17
Generation 1056 | Mean fitness (Test): -6.55
Generation 1072 | Mean fitness (Test): -8.85
Generation 1088 | Mean fitness (Test): -10.41
Generation 1104 | Mean fitness (Test): -13.28
Generation 1120 | Mean fitness (Test): -18.28
Generation 1136 | Mean fitness (Test): -7.48
Generation 1152 | Mean fitness (Test): -5.42
Generation 1168 | Mean fitness (Test): -13.09
Generation 1184 | Mean fitness (Test): -42.25
Generation 1200 | Mean fitness (Test): -7.96
Generation 1216 | Mean fitness (Test): -9.51
Generation 1232 | Mean fitness (Test): -5.12
Generation 1248 | Mean fitness (Test): -6.28
Generation 1264 | Mean fitness (Test): -12.82
Generation 1280 | Mean fitness (Test): -8.36
Generation 1296 | Mean fitness (Test): -5.93
Generation 1312 | Mean fitness (Test): -10.87
Generation 1328 | Mean fitness (Test): -40.87
Generation 1344 | Mean fitness (Test): -13.87
Generation 1360 | Mean fitness (Test): -26.48
Generation 1376 | Mean fitness (Test): -10.97
Generation 1392 | Mean fitness (Test): -7.38
Generation 1408 | Mean fitness (Test): -10.64
Generation 1424 | Mean fitness (Test): -13.36
Generation 1440 | Mean fitness (Test): -9.05
Generation 1456 | Mean fitness (Test): -9.79
Generation 1472 | Mean fitness (Test): -12.80
Generation 1488 | Mean fitness (Test): -9.33
Generation 1504 | Mean fitness (Test): -12.08
Generation 1520 | Mean fitness (Test): -13.95
Generation 1536 | Mean fitness (Test): -13.15
Generation 1552 | Mean fitness (Test): -13.19
Generation 1568 | Mean fitness (Test): -6.40
Generation 1584 | Mean fitness (Test): -5.34
Generation 1600 | Mean fitness (Test): -7.24
Generation 1616 | Mean fitness (Test): -32.33
Generation 1632 | Mean fitness (Test): -6.38
Generation 1648 | Mean fitness (Test): -11.04
Generation 1664 | Mean fitness (Test): -6.77
Generation 1680 | Mean fitness (Test): -223.15
Generation 1696 | Mean fitness (Test): -7.58
Generation 1712 | Mean fitness (Test): -11.16
Generation 1728 | Mean fitness (Test): -31.28
Generation 1744 | Mean fitness (Test): -14.96
Generation 1760 | Mean fitness (Test): -8.96
Generation 1776 | Mean fitness (Test): -8.90
Generation 1792 | Mean fitness (Test): -6.04
Generation 1808 | Mean fitness (Test): -7.96
Generation 1824 | Mean fitness (Test): -12.35
Generation 1840 | Mean fitness (Test): -5.88
Generation 1856 | Mean fitness (Test): -10.41
Generation 1872 | Mean fitness (Test): -5.16
Generation 1888 | Mean fitness (Test): -11.27
Generation 1904 | Mean fitness (Test): -47.09
Generation 1920 | Mean fitness (Test): -10.20
Generation 1936 | Mean fitness (Test): -7.06
Generation 1952 | Mean fitness (Test): -6.69
Generation 1968 | Mean fitness (Test): -11.72
Generation 1984 | Mean fitness (Test): -11.70
Generation 2000 | Mean fitness (Test): -8.61
running the experiment ... [../../results/BraxProblem/ant/Sep_CMA_ES/1]
Generation 016 | Mean fitness (Test): -34.02
Generation 032 | Mean fitness (Test): -15.73
Generation 048 | Mean fitness (Test): -12.45
Generation 064 | Mean fitness (Test): -130.04
Generation 080 | Mean fitness (Test): -44.33
Generation 096 | Mean fitness (Test): -11.98
Generation 112 | Mean fitness (Test): -12.61
Generation 128 | Mean fitness (Test): -16.94
Generation 144 | Mean fitness (Test): -16.11
Generation 160 | Mean fitness (Test): -8.93
Generation 176 | Mean fitness (Test): -13.55
Generation 192 | Mean fitness (Test): -12.91
Generation 208 | Mean fitness (Test): -6.35
Generation 224 | Mean fitness (Test): -10.89
Generation 240 | Mean fitness (Test): -8.38
Generation 256 | Mean fitness (Test): -45.67
Generation 272 | Mean fitness (Test): -37.43
Generation 288 | Mean fitness (Test): -45.23
Generation 304 | Mean fitness (Test): -63.07
