Tue 11 Nov 2025 15:20:36 IST

SLURM_JOBID:		 8108717
SLURM_JOB_NODELIST:	 ise-3090-02 

configuration parmas running: problem_type=brax es_algorithms=Sep_CMA_ES
Loading Problems ..:   0%|                                                                                                           | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1111 15:20:57.451751 3294903 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/Sep_CMA_ES/0]
Generation 010 | Best fitness (Train): 73.95 | Best fitness in generation (Train): 73.95 | Mean fitness (Train): 29.04 | Mean fitness (Test): 123.71
Generation 020 | Best fitness (Train): 129.70 | Best fitness in generation (Train): 121.30 | Mean fitness (Train): 46.52 | Mean fitness (Test): 207.53
Generation 030 | Best fitness (Train): 387.87 | Best fitness in generation (Train): 223.61 | Mean fitness (Train): 64.29 | Mean fitness (Test): 448.48
Generation 040 | Best fitness (Train): 628.67 | Best fitness in generation (Train): 553.13 | Mean fitness (Train): 105.11 | Mean fitness (Test): 951.27
Generation 050 | Best fitness (Train): 936.91 | Best fitness in generation (Train): 691.53 | Mean fitness (Train): 140.16 | Mean fitness (Test): 571.62
Generation 060 | Best fitness (Train): 1015.48 | Best fitness in generation (Train): 888.97 | Mean fitness (Train): 227.59 | Mean fitness (Test): 704.72
Generation 070 | Best fitness (Train): 1213.19 | Best fitness in generation (Train): 979.85 | Mean fitness (Train): 298.50 | Mean fitness (Test): 789.24
Generation 080 | Best fitness (Train): 1213.19 | Best fitness in generation (Train): 893.64 | Mean fitness (Train): 342.88 | Mean fitness (Test): 953.71
Generation 090 | Best fitness (Train): 1213.19 | Best fitness in generation (Train): 949.97 | Mean fitness (Train): 422.86 | Mean fitness (Test): 985.54
Generation 100 | Best fitness (Train): 1270.62 | Best fitness in generation (Train): 1156.04 | Mean fitness (Train): 490.68 | Mean fitness (Test): 1143.42
Generation 110 | Best fitness (Train): 1270.62 | Best fitness in generation (Train): 1168.94 | Mean fitness (Train): 517.71 | Mean fitness (Test): 1190.64
Generation 120 | Best fitness (Train): 1377.09 | Best fitness in generation (Train): 1159.52 | Mean fitness (Train): 584.28 | Mean fitness (Test): 1160.27
Generation 130 | Best fitness (Train): 1377.09 | Best fitness in generation (Train): 1196.06 | Mean fitness (Train): 576.37 | Mean fitness (Test): 1252.78
Generation 140 | Best fitness (Train): 1428.08 | Best fitness in generation (Train): 1363.89 | Mean fitness (Train): 632.33 | Mean fitness (Test): 1334.62
Generation 150 | Best fitness (Train): 1428.08 | Best fitness in generation (Train): 1307.18 | Mean fitness (Train): 676.27 | Mean fitness (Test): 1400.50
Generation 160 | Best fitness (Train): 1433.21 | Best fitness in generation (Train): 1313.03 | Mean fitness (Train): 698.08 | Mean fitness (Test): 1534.48
Generation 170 | Best fitness (Train): 1433.21 | Best fitness in generation (Train): 1315.71 | Mean fitness (Train): 747.93 | Mean fitness (Test): 1617.91
Generation 180 | Best fitness (Train): 1492.23 | Best fitness in generation (Train): 1426.26 | Mean fitness (Train): 752.69 | Mean fitness (Test): 1675.00
Generation 190 | Best fitness (Train): 1518.62 | Best fitness in generation (Train): 1518.62 | Mean fitness (Train): 776.33 | Mean fitness (Test): 1844.35
Generation 200 | Best fitness (Train): 1540.78 | Best fitness in generation (Train): 1342.29 | Mean fitness (Train): 794.05 | Mean fitness (Test): 1767.67
Generation 210 | Best fitness (Train): 1573.15 | Best fitness in generation (Train): 1433.91 | Mean fitness (Train): 834.21 | Mean fitness (Test): 1820.80
Generation 220 | Best fitness (Train): 1658.42 | Best fitness in generation (Train): 1495.62 | Mean fitness (Train): 846.72 | Mean fitness (Test): 1841.37
Generation 230 | Best fitness (Train): 1658.42 | Best fitness in generation (Train): 1468.02 | Mean fitness (Train): 862.10 | Mean fitness (Test): 1719.73
Generation 240 | Best fitness (Train): 1658.42 | Best fitness in generation (Train): 1482.32 | Mean fitness (Train): 835.79 | Mean fitness (Test): 1797.31
Generation 250 | Best fitness (Train): 1658.42 | Best fitness in generation (Train): 1474.34 | Mean fitness (Train): 889.05 | Mean fitness (Test): 1842.59
Generation 260 | Best fitness (Train): 1658.42 | Best fitness in generation (Train): 1540.99 | Mean fitness (Train): 913.61 | Mean fitness (Test): 1759.63
Generation 270 | Best fitness (Train): 1677.12 | Best fitness in generation (Train): 1554.61 | Mean fitness (Train): 927.85 | Mean fitness (Test): 1931.46
Generation 280 | Best fitness (Train): 1677.12 | Best fitness in generation (Train): 1563.45 | Mean fitness (Train): 940.33 | Mean fitness (Test): 1912.49
Generation 290 | Best fitness (Train): 1677.12 | Best fitness in generation (Train): 1509.65 | Mean fitness (Train): 954.09 | Mean fitness (Test): 1926.38
Generation 300 | Best fitness (Train): 1677.12 | Best fitness in generation (Train): 1579.30 | Mean fitness (Train): 945.83 | Mean fitness (Test): 1941.13
Generation 310 | Best fitness (Train): 1707.94 | Best fitness in generation (Train): 1707.94 | Mean fitness (Train): 971.62 | Mean fitness (Test): 1940.01
Generation 320 | Best fitness (Train): 1707.94 | Best fitness in generation (Train): 1474.83 | Mean fitness (Train): 983.68 | Mean fitness (Test): 1909.13
