Sat 15 Nov 2025 22:57:29 IST

SLURM_JOBID:		 8184818
SLURM_JOB_NODELIST:	 ise-pheno-11 

configuration parmas running: problem_type=gymnax es_algorithms=DES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/DiscoveredES/0]
Generation 010 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.77 | Mean fitness (Test): 1.00
Generation 020 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.89 | Mean fitness (Test): 2.00
Generation 030 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.11 | Mean fitness (Test): 0.00
Generation 040 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.87 | Mean fitness (Test): 2.00
Generation 050 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.39 | Mean fitness (Test): 1.00
Generation 060 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.85 | Mean fitness (Test): 0.00
Generation 070 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 0.00
Generation 080 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 2.11 | Mean fitness (Test): 2.00
Generation 090 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.62 | Mean fitness (Test): 1.00
Generation 100 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.28 | Mean fitness (Test): 0.00
Generation 110 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.85 | Mean fitness (Test): 1.00
Generation 120 | Best fitness (Train): 10.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.04 | Mean fitness (Test): 0.00
