Sat 15 Nov 2025 22:55:29 IST

SLURM_JOBID:		 8184816
SLURM_JOB_NODELIST:	 cs-3090-01 

configuration parmas running: problem_type=gymnax es_algorithms=PGPE
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/PGPE/0]
Generation 010 | Best fitness (Train): 6.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.83 | Mean fitness (Test): 1.00
Generation 020 | Best fitness (Train): 6.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.23 | Mean fitness (Test): 0.00
Generation 030 | Best fitness (Train): 6.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.30 | Mean fitness (Test): 0.00
Generation 040 | Best fitness (Train): 6.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.28 | Mean fitness (Test): 1.00
Generation 050 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.44 | Mean fitness (Test): 4.00
Generation 060 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.71 | Mean fitness (Test): 1.00
Generation 070 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.28 | Mean fitness (Test): 1.00
Generation 080 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 090 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.06 | Mean fitness (Test): 0.00
Generation 100 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.42 | Mean fitness (Test): 0.00
Generation 110 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 0.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 120 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.99 | Mean fitness (Test): 1.00
Generation 130 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.00 | Mean fitness (Test): 0.00
Generation 140 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 1.00
Generation 150 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 1.00 | Mean fitness (Train): 0.04 | Mean fitness (Test): 0.00
Generation 160 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 1.94 | Mean fitness (Test): 2.00
Generation 170 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 180 | Best fitness (Train): 9.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.04 | Mean fitness (Test): 0.00
