Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 010 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.79 | Mean fitness (Test): 1.00
Generation 020 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.88 | Mean fitness (Test): 2.00
Generation 030 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 040 | Best fitness (Train): 7.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.31 | Mean fitness (Test): 0.00
Generation 050 | Best fitness (Train): 8.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.38 | Mean fitness (Test): 1.00
Generation 060 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.38 | Mean fitness (Test): 1.00
Generation 070 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.65 | Mean fitness (Test): 0.00
Generation 080 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.52 | Mean fitness (Test): 0.00
Generation 090 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.50 | Mean fitness (Test): 1.00
Generation 100 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.42 | Mean fitness (Test): 0.00
Generation 110 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.08 | Mean fitness (Test): 0.00
Generation 120 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.49 | Mean fitness (Test): 1.00
Generation 130 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.33 | Mean fitness (Test): 1.00
Generation 140 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.73 | Mean fitness (Test): 1.00
Generation 150 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.97 | Mean fitness (Test): 1.00
Generation 160 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.13 | Mean fitness (Test): 3.00
Generation 170 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.38 | Mean fitness (Test): 2.00
Generation 180 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.70 | Mean fitness (Test): 0.00
Generation 190 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.19 | Mean fitness (Test): 3.00
Generation 200 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.04 | Mean fitness (Test): 0.00
Generation 210 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.53 | Mean fitness (Test): 0.00
Generation 220 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.47 | Mean fitness (Test): 1.00
Generation 230 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 2.00
Generation 240 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.50 | Mean fitness (Test): 0.00
Generation 250 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.32 | Mean fitness (Test): 0.00
Generation 260 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.78 | Mean fitness (Test): 1.00
Generation 270 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.43 | Mean fitness (Test): 5.00
Generation 280 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.20 | Mean fitness (Test): 3.00
Generation 290 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.08 | Mean fitness (Test): 0.00
Generation 300 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.50 | Mean fitness (Test): 3.00
Generation 310 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 0.00
Generation 320 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.67 | Mean fitness (Test): 0.00
Generation 330 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 340 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.92 | Mean fitness (Test): 0.00
Generation 350 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.61 | Mean fitness (Test): 0.00
Generation 360 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.26 | Mean fitness (Test): 0.00
Generation 370 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.45 | Mean fitness (Test): 0.00
Generation 380 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.59 | Mean fitness (Test): 2.00
Generation 390 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 1.36 | Mean fitness (Test): 3.00
Generation 400 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.37 | Mean fitness (Test): 1.00
Generation 410 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 420 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.07 | Mean fitness (Test): 0.00
Generation 430 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.82 | Mean fitness (Test): 4.00
Generation 440 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.24 | Mean fitness (Test): 0.00
Generation 450 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.45 | Mean fitness (Test): 0.00
Generation 460 | Best fitness (Train): 11.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
