Wed 22 Oct 2025 06:23:52 IDT

SLURM_JOBID:		 7713845
SLURM_JOB_NODELIST:	 cs-pheno-13 

configuration parmas running: problem_type=vision es_algorithms=DES
Successfully loaded: MNIST
Loading Problems ..:   0%|                                                   | 0/4 [00:00<?, ?it/s]
running the experiment ... [../../results/TorchVisionProblem/MNIST/DiscoveredES/0]
Generation 016 | Mean fitness (Test): 82.44 | Mean Accuracy (Test): 0.18
Generation 032 | Mean fitness (Test): 82.47 | Mean Accuracy (Test): 0.16
Generation 048 | Mean fitness (Test): 69.89 | Mean Accuracy (Test): 0.16
Generation 064 | Mean fitness (Test): 53.05 | Mean Accuracy (Test): 0.17
Generation 080 | Mean fitness (Test): 47.39 | Mean Accuracy (Test): 0.16
Generation 096 | Mean fitness (Test): 27.84 | Mean Accuracy (Test): 0.21
Generation 112 | Mean fitness (Test): 16.11 | Mean Accuracy (Test): 0.09
Generation 128 | Mean fitness (Test): 8.04 | Mean Accuracy (Test): 0.11
Generation 144 | Mean fitness (Test): 3.91 | Mean Accuracy (Test): 0.09
Generation 160 | Mean fitness (Test): 3.88 | Mean Accuracy (Test): 0.12
Generation 176 | Mean fitness (Test): 3.35 | Mean Accuracy (Test): 0.12
Generation 192 | Mean fitness (Test): 3.08 | Mean Accuracy (Test): 0.13
Generation 208 | Mean fitness (Test): 2.96 | Mean Accuracy (Test): 0.08
Generation 224 | Mean fitness (Test): 2.45 | Mean Accuracy (Test): 0.09
Generation 240 | Mean fitness (Test): 2.28 | Mean Accuracy (Test): 0.17
Generation 256 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.09
Generation 272 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 288 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 304 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 320 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.08
Generation 336 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 352 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 368 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 384 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 400 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 416 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 432 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 448 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 464 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 480 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 496 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 512 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 528 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 544 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 560 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 576 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 592 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.11
Generation 608 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.13
Generation 624 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.06
Generation 640 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 656 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 672 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.11
Generation 688 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 704 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.14
Generation 720 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 736 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 752 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 768 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.17
Generation 784 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 800 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.08
Generation 816 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 832 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 848 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
Generation 864 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 880 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.09
Generation 896 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 912 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.05
Generation 928 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 944 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.10
Generation 960 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.15
Generation 976 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.15
Generation 992 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.13
running the experiment ... [../../results/TorchVisionProblem/MNIST/DiscoveredES/1]
Generation 016 | Mean fitness (Test): 60.06 | Mean Accuracy (Test): 0.11
Generation 032 | Mean fitness (Test): 66.46 | Mean Accuracy (Test): 0.29
Generation 048 | Mean fitness (Test): 58.10 | Mean Accuracy (Test): 0.28
Generation 064 | Mean fitness (Test): 49.65 | Mean Accuracy (Test): 0.26
Generation 080 | Mean fitness (Test): 34.50 | Mean Accuracy (Test): 0.18
Generation 096 | Mean fitness (Test): 17.35 | Mean Accuracy (Test): 0.11
Generation 112 | Mean fitness (Test): 8.67 | Mean Accuracy (Test): 0.14
Generation 128 | Mean fitness (Test): 5.50 | Mean Accuracy (Test): 0.04
Generation 144 | Mean fitness (Test): 3.37 | Mean Accuracy (Test): 0.05
Generation 160 | Mean fitness (Test): 3.00 | Mean Accuracy (Test): 0.09
Generation 176 | Mean fitness (Test): 3.48 | Mean Accuracy (Test): 0.09
Generation 192 | Mean fitness (Test): 2.84 | Mean Accuracy (Test): 0.09
Generation 208 | Mean fitness (Test): 2.50 | Mean Accuracy (Test): 0.13
Generation 224 | Mean fitness (Test): 2.34 | Mean Accuracy (Test): 0.09
Generation 240 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.14
Generation 256 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 272 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.12
Generation 288 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.15
Generation 304 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.12
Generation 320 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.07
Generation 336 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 352 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.09
Generation 368 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 384 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.11
Generation 400 | Mean fitness (Test): 2.30 | Mean Accuracy (Test): 0.07
Generation 416 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.09
Generation 432 | Mean fitness (Test): 2.29 | Mean Accuracy (Test): 0.20
Generation 448 | Mean fitness (Test): 2.31 | Mean Accuracy (Test): 0.10
Generation 464 | Mean fitness (Test): 2.32 | Mean Accuracy (Test): 0.08
