Mon 10 Nov 2025 22:08:36 IST

SLURM_JOBID:		 8086770
SLURM_JOB_NODELIST:	 cs-3090-01 

configuration parmas running: problem_type=vision es_algorithms=dsa
Number of pararmeters: 125866
2025-11-10 22:09:03.894200: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.14GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:03.894253: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.14GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:03.894275: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.14GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:03.894303: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021838: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021899: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021919: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021939: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021956: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
2025-11-10 22:09:04.021977: W external/xla/xla/tsl/framework/bfc_allocator.cc:310] Allocator (GPU_0_bfc) ran out of memory trying to allocate 6.15GiB with freed_by_count=0. The caller indicates that this is not a failure, but this may mean that there could be performance gains if more memory were available.
Generation 005 | Mean fitness: 1.89 | Accuracy: 0.37
Generation 010 | Mean fitness: 1.51 | Accuracy: 0.54
Generation 015 | Mean fitness: 1.29 | Accuracy: 0.61
Generation 020 | Mean fitness: 1.11 | Accuracy: 0.66
Generation 025 | Mean fitness: 1.16 | Accuracy: 0.66
Generation 030 | Mean fitness: 1.05 | Accuracy: 0.68
Generation 035 | Mean fitness: 0.99 | Accuracy: 0.73
Generation 040 | Mean fitness: 0.76 | Accuracy: 0.77
Generation 045 | Mean fitness: 0.74 | Accuracy: 0.79
Generation 050 | Mean fitness: 0.80 | Accuracy: 0.78
Generation 055 | Mean fitness: 0.79 | Accuracy: 0.80
Generation 060 | Mean fitness: 0.68 | Accuracy: 0.83
Generation 065 | Mean fitness: 0.60 | Accuracy: 0.83
Generation 070 | Mean fitness: 0.62 | Accuracy: 0.84
Generation 075 | Mean fitness: 0.59 | Accuracy: 0.86
Generation 080 | Mean fitness: 0.56 | Accuracy: 0.85
Generation 085 | Mean fitness: 0.52 | Accuracy: 0.87
Generation 090 | Mean fitness: 0.54 | Accuracy: 0.87
Generation 095 | Mean fitness: 0.46 | Accuracy: 0.88
Generation 100 | Mean fitness: 0.44 | Accuracy: 0.88
Generation 105 | Mean fitness: 0.53 | Accuracy: 0.87
Generation 110 | Mean fitness: 0.48 | Accuracy: 0.87
Generation 115 | Mean fitness: 0.45 | Accuracy: 0.88
Generation 120 | Mean fitness: 0.51 | Accuracy: 0.87
Generation 125 | Mean fitness: 0.45 | Accuracy: 0.88
Generation 130 | Mean fitness: 0.44 | Accuracy: 0.88
Generation 135 | Mean fitness: 0.38 | Accuracy: 0.90
Generation 140 | Mean fitness: 0.37 | Accuracy: 0.89
Generation 145 | Mean fitness: 0.39 | Accuracy: 0.89
Generation 150 | Mean fitness: 0.38 | Accuracy: 0.89
Generation 155 | Mean fitness: 0.41 | Accuracy: 0.89
Generation 160 | Mean fitness: 0.41 | Accuracy: 0.89
Generation 165 | Mean fitness: 0.33 | Accuracy: 0.91
Generation 170 | Mean fitness: 0.34 | Accuracy: 0.91
Generation 175 | Mean fitness: 0.42 | Accuracy: 0.90
Generation 180 | Mean fitness: 0.36 | Accuracy: 0.90
Generation 185 | Mean fitness: 0.34 | Accuracy: 0.91
Generation 190 | Mean fitness: 0.32 | Accuracy: 0.92
Generation 195 | Mean fitness: 0.32 | Accuracy: 0.91
Generation 200 | Mean fitness: 0.39 | Accuracy: 0.90
Generation 205 | Mean fitness: 0.34 | Accuracy: 0.91
Generation 210 | Mean fitness: 0.31 | Accuracy: 0.92
Generation 215 | Mean fitness: 0.34 | Accuracy: 0.91
Generation 220 | Mean fitness: 0.33 | Accuracy: 0.91
Generation 225 | Mean fitness: 0.25 | Accuracy: 0.92
